,MAL_id,Title,Score,Type
0,34566,Boruto__Naruto_Next_Generations,,TV
1,37520,Dororo,,TV
2,57592,Dr_Stone__Science_Future,,TV
3,58939,Sakamoto_Days,,TV
4,58567,Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,,TV
5,58514,Kusuriya_no_Hitorigoto_2nd_Season,,TV
6,58502,Zenshuu,,TV
7,28851,Koe_no_Katachi,2.0,Movie
8,41168,Nakitai_Watashi_wa_Neko_wo_Kaburu,7.0,ONA
9,54744,Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san,8.0,TV
10,16498,Shingeki_no_Kyojin,9.0,TV
11,25777,Shingeki_no_Kyojin_Season_2,9.0,TV
12,35760,Shingeki_no_Kyojin_Season_3,9.0,TV
13,38524,Shingeki_no_Kyojin_Season_3_Part_2,10.0,TV
14,40028,Shingeki_no_Kyojin__The_Final_Season,10.0,TV
15,51535,Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,10.0,TV Special
16,48583,Shingeki_no_Kyojin__The_Final_Season_Part_2,10.0,TV
17,34572,Black_Clover,9.0,TV
18,48585,Black_Clover__Mahou_Tei_no_Ken,10.0,Movie
19,269,Bleach,9.0,TV
20,4835,Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,8.0,Movie
21,8247,Bleach_Movie_4__Jigoku-hen,8.0,Movie
22,1686,Bleach_Movie_1__Memories_of_Nobody,8.0,Movie
23,2889,Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,8.0,Movie
24,41467,Bleach__Sennen_Kessen-hen,10.0,TV
25,56784,Bleach__Sennen_Kessen-hen_-_Soukoku-tan,10.0,TV
26,53998,Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,10.0,TV
27,49596,Blue_Lock,8.0,TV
28,54865,Blue_Lock_vs_U-20_Japan,8.0,TV
29,54866,Blue_Lock__Episode_Nagi,8.0,Movie
30,50549,Bubble,7.0,ONA
31,10012,Carnival_Phantasm,8.0,OVA
32,12187,Carnival_Phantasm_EX_Season,8.0,OVA
33,15927,Carnival_Phantasm__HibiChika_Special,7.0,Special
34,44511,Chainsaw_Man,9.0,TV
35,57334,Dandadan,10.0,TV
36,1535,Death_Note,8.0,TV
37,38000,Kimetsu_no_Yaiba,10.0,TV
38,40456,Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,10.0,Movie
39,47778,Kimetsu_no_Yaiba__Yuukaku-hen,10.0,TV
40,55701,Kimetsu_no_Yaiba__Hashira_Geiko-hen,10.0,TV
41,51019,Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,10.0,TV
42,2471,Doraemon_1979,9.0,TV
43,11053,Doraemon_Movie_32__Nobita_to_Kiseki_no_Shima_-_Animal_Adventure,8.0,Movie
44,31201,Doraemon_Movie_36__Shin_Nobita_no_Nippon_Tanjou,7.0,Movie
45,5096,Doraemon_Movie_28__Nobita_to_Midori_no_Kyojin_Den,9.0,Movie
46,2671,Doraemon_Movie_03__Nobita_no_Daimakyou,7.0,Movie
47,2393,Doraemon_Movie_24__Nobita_to_Fushigi_Kaze_Tsukai,8.0,Movie
48,19645,Doraemon_Movie_34__Shin_Nobita_no_Daimakyou_-_Peko_to_5-nin_no_Tankentai,8.0,Movie
49,2392,Doraemon_Movie_26__Nobita_no_Kyouryuu_2006,7.0,Movie
50,10534,Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi,9.0,Movie
51,38691,Dr_Stone,10.0,TV
52,48549,Dr_Stone__New_World,10.0,TV
53,55644,Dr_Stone__New_World_Part_2,10.0,TV
54,50612,Dr_Stone__Ryuusui,10.0,TV Special
55,40852,Dr_Stone__Stone_Wars,10.0,TV
56,43555,Dr_Stone__Stone_Wars_-_Kaisen_Zenya_Special_Eizou,8.0,Special
57,34662,Fate_Apocrypha,,TV
58,33047,Fate_Extra__Last_Encore,7.0,TV
59,37651,Fate_Extra__Last_Encore_-_Illustrias_Tendousetsu,7.0,TV
60,44248,Fate_Grand_Carnival,8.0,OVA
61,34321,Fate_Grand_Order__First_Order,8.0,TV Special
62,38084,Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia,9.0,TV
63,40206,Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia_-_Initium_Iter,8.0,Special
64,38086,Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_2_-_Paladin__Agateram,8.0,Movie
65,38085,Fate_Grand_Order__Shinsei_Entaku_Ryouiki_Camelot_1_-_Wandering__Agateram,7.0,Movie
66,41497,Fate_Grand_Order__Shuukyoku_Tokuiten_-_Kani_Jikan_Shinden_Solomon,8.0,Movie
67,14829,Fate_kaleid_liner_Prisma%E2%98%86Illya,8.0,TV
68,27525,Fate_kaleid_liner_Prisma%E2%98%86Illya_2wei_Herz,8.0,TV
69,20509,Fate_kaleid_liner_Prisma%E2%98%86Illya_2wei,8.0,TV
70,31706,Fate_kaleid_liner_Prisma%E2%98%86Illya_3rei,8.0,TV
71,12565,Fate_Prototype,7.0,OVA
72,356,Fate_stay_night,8.0,TV
73,22297,Fate_stay_night__Unlimited_Blade_Works,10.0,TV
74,27821,Fate_stay_night__Unlimited_Blade_Works_Prologue,10.0,TV Special
75,28701,Fate_stay_night__Unlimited_Blade_Works_2nd_Season,10.0,TV
76,31389,Fate_stay_night__Unlimited_Blade_Works_2nd_Season_-_Sunny_Day,8.0,Special
77,25537,Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower,10.0,Movie
78,33049,Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,10.0,Movie
79,33050,Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,10.0,Movie
80,10087,Fate_Zero,9.0,TV
81,11741,Fate_Zero_2nd_Season,9.0,TV
82,52991,Sousou_no_Frieren,9.0,TV
83,53393,Tengoku_Daimakyou,8.0,TV
