,MAL_id,Title,Score,Type
0,11759,Accel_World,,TV
1,16498,Shingeki_no_Kyojin,10.0,TV
2,15605,Brothers_Conflict,,TV
3,14467,K,8.0,TV
4,16894,Kuroko_no_Basket_2nd_Season,,TV
5,15487,Kuroko_no_Basket_NG-shuu,,Special
6,16916,Kuroko_no_Basket__Tip_Off,,Special
7,17265,Log_Horizon,,TV
8,1735,Naruto__Shippuuden,8.0,TV
9,19369,Outbreak_Company,,TV
10,18119,Servant_x_Service,,TV
11,18277,Strike_the_Blood,,TV
12,17247,Machine-Doll_wa_Kizutsukanai,,TV
13,6547,Angel_Beats,8.0,TV
14,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,9.0,TV
15,2167,Clannad,8.0,TV
16,4181,Clannad__After_Story,8.0,TV
17,1535,Death_Note,,TV
18,4551,Hakushaku_to_Yousei,7.0,TV
19,6702,Fairy_Tail,10.0,TV
20,12049,Fairy_Tail_Movie_1__Houou_no_Miko,8.0,Movie
21,12461,Hiiro_no_Kakera,,TV
22,14645,Hiiro_no_Kakera_2nd_Season,,TV
23,11013,Inu_x_Boku_SS,9.0,TV
24,5680,K-On,10.0,TV
25,7791,K-On,10.0,TV
26,14713,Kamisama_Hajimemashita,9.0,TV
27,6045,Kimi_ni_Todoke,9.0,TV
28,9656,Kimi_ni_Todoke_2nd_Season,9.0,TV
29,5717,Kiniro_no_Corda__Secondo_Passo,8.0,TV Special
30,7593,Kiss_x_Sis_TV,7.0,TV
31,1579,Kiniro_no_Corda__Primo_Passo,9.0,TV
32,2034,Lovely%E2%98%85Complex,9.0,TV
33,1887,Lucky%E2%98%86Star,7.0,TV
34,7054,Kaichou_wa_Maid-sama,9.0,TV
35,14227,Tonari_no_Kaibutsu-kun,10.0,TV
36,20,Naruto,8.0,TV
37,1698,Nodame_Cantabile,9.0,TV
38,853,Ouran_Koukou_Host_Club,10.0,TV
39,325,Peach_Girl,7.0,TV
40,164,Mononoke_Hime,,Movie
41,4722,Skip_Beat,8.0,TV
42,3470,Special_A,9.0,TV
43,199,Sen_to_Chihiro_no_Kamikakushi,10.0,Movie
44,2236,Toki_wo_Kakeru_Shoujo,10.0,Movie
45,13759,Sakura-sou_no_Pet_na_Kanojo,9.0,TV
46,8525,Kami_nomi_zo_Shiru_Sekai,9.0,TV
47,4224,Toradora,9.0,TV
48,3457,Vampire_Knight,10.0,TV
49,4752,Vampire_Knight_Guilty,10.0,TV
50,1222,Bokura_ga_Ita,9.0,TV
51,145,Kareshi_Kanojo_no_Jijou,,TV
52,16,Hachimitsu_to_Clover,,TV
53,12189,Hyouka,,TV
54,2927,KimiKiss_Pure_Rouge,,TV
55,11887,Kokoro_Connect,,TV
56,2993,Rosario_to_Vampire,,TV
57,855,Strawberry_Panic,,TV
58,10321,Uta_no%E2%98%86Prince-sama%E2%99%AA_Maji_Love_1000,8.0,TV
59,322,Paradise_Kiss,,TV
60,11499,Sankarea,,TV
61,2129,True_Tears,,TV
62,6408,Bungaku_Shoujo_Movie,,Movie
63,60,Chrno_Crusade,,TV
64,5630,Higashi_no_Eden,,TV
65,120,Fruits_Basket,,TV
66,918,Gintama,,TV
67,9969,Gintama,,TV
68,10719,Boku_wa_Tomodachi_ga_Sukunai,8.0,TV
69,11617,High_School_DxD,,TV
70,1142,Hachimitsu_to_Clover_II,,TV
71,469,Karin,,TV
72,10110,Mayo_Chiki,,TV
73,9181,Motto_To_LOVE-Ru,,TV
74,1699,Romeo_x_Juliet,,TV
75,24,School_Rumble,,TV
76,2923,Shugo_Chara,,TV
77,8675,Seitokai_Yakuindomo,,TV
78,15379,Kotoura-san,,TV
79,10080,Kami_nomi_zo_Shiru_Sekai_II,,TV
80,12711,Uta_no%E2%98%86Prince-sama%E2%99%AA_Maji_Love_2000,,TV
81,8861,Yosuga_no_Sora,,TV
