,MAL_id,Title,Score,Type
0,54856,Horimiya__Piece,,TV
1,49505,Deji_Meets_Girl,,TV
2,32601,12-sai__Chicchana_Mune_no_Tokimeki,,TV
3,33419,12-sai__Chicchana_Mune_no_Tokimeki_2nd_Season,,TV
4,55866,Yubisaki_to_Renren,9.0,TV
5,28851,Koe_no_Katachi,9.0,Movie
6,34984,Koi_wa_Ameagari_no_You_ni,9.0,TV
7,39195,Beastars,,TV
8,40935,Beastars_2nd_Season,,TV
9,34618,Blend_S,,TV
10,46352,Blue_Period,10.0,TV
11,21995,Ao_Haru_Ride,,TV
12,37475,Kishuku_Gakkou_no_Juliet,,TV
13,40530,Jaku-Chara_Tomozaki-kun,9.0,TV
14,50803,Jaku-Chara_Tomozaki-kun_2nd_Stage,,TV
15,10162,Usagi_Drop,10.0,TV
16,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,10.0,TV
17,51096,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,,TV
18,51180,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_3rd_Season,,TV
19,35849,Darling_in_the_FranXX,,TV
20,38656,Darwins_Game,7.0,TV
21,38691,Dr_Stone,9.0,TV
22,40852,Dr_Stone__Stone_Wars,9.0,TV
23,32901,Eromanga-sensei,,TV
24,38671,Enen_no_Shouboutai,,TV
25,10029,Coquelicot-zaka_kara,10.0,Movie
26,17895,Golden_Time,,TV
27,40938,Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,10.0,TV
28,28825,Himouto_Umaru-chan,,TV
29,42897,Horimiya,9.0,TV
30,37999,Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,,TV
31,52198,Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,,Movie
32,43608,Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,10.0,TV
33,40591,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,,TV
34,39792,Eizouken_ni_wa_Te_wo_Dasu_na,8.0,TV
35,41103,Koi_to_Yobu_ni_wa_Kimochi_Warui,,TV
36,48926,Komi-san_wa_Comyushou_desu,9.0,TV
37,50631,Komi-san_wa_Comyushou_desu_2nd_Season,,TV
38,38080,Kono_Oto_Tomare,9.0,TV
39,38889,Kono_Oto_Tomare_Part_2,,TV
40,14741,Chuunibyou_demo_Koi_ga_Shitai,,TV
41,33487,Masamune-kun_no_Revenge,,TV
42,33206,Kobayashi-san_Chi_no_Maid_Dragon,,TV
43,23289,Gekkan_Shoujo_Nozaki-kun,,TV
44,48736,Sono_Bisque_Doll_wa_Koi_wo_Suru,,TV
45,51552,Watashi_no_Shiawase_na_Kekkon,,TV
46,14227,Tonari_no_Kaibutsu-kun,8.0,TV
47,53126,Yamada-kun_to_Lv999_no_Koi_wo_Suru,,TV
48,470,Okusama_wa_Joshikousei_TV,,TV
49,33102,Nijiiro_Days__Houkago_Special,,TV Special
50,20507,Noragami,8.0,TV
51,30503,Noragami_Aragoto,8.0,TV
52,30240,Prison_School,,TV
53,31414,Nijiiro_Days,9.0,TV
54,33181,Nijiiro_Days__Nijiiro_Biyori,,OVA
55,37450,Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,,TV
56,36793,3D_Kanojo__Real_Girl,,TV
57,40750,Kaifuku_Jutsushi_no_Yarinaoshi,,TV
58,30015,ReLIFE,9.0,TV
59,32949,Kuzu_no_Honkai,6.0,TV
60,40392,Runway_de_Waratte,8.0,TV
61,48849,Sonny_Boy,8.0,TV
62,50265,Spy_x_Family,,TV
63,50602,Spy_x_Family_Part_2,,TV
64,53887,Spy_x_Family_Season_2,,TV
65,36475,Sword_Art_Online_Alternative__Gun_Gale_Online,7.0,TV
66,35860,Karakai_Jouzu_no_Takagi-san,,TV
67,38993,Karakai_Jouzu_no_Takagi-san_2,,TV
68,49721,Karakai_Jouzu_no_Takagi-san_3,9.0,TV
69,33255,Saiki_Kusuo_no_%CE%A8-nan,,TV
70,52173,Koori_Zokusei_Danshi_to_Cool_na_Douryou_Joshi,,TV
71,32438,Mayoiga,7.0,TV
72,41120,Fugou_Keiji__Balance_Unlimited,,TV
73,37779,Yakusoku_no_Neverland,,TV
74,39617,Yakusoku_no_Neverland_2nd_Season,3.0,TV
75,22319,Tokyo_Ghoul,,TV
76,50273,Tomodachi_Game,,TV
77,41389,Tonikaku_Kawaii,,TV
78,4224,Toradora,8.0,TV
79,1210,NHK_ni_Youkoso,,TV
80,35968,Wotaku_ni_Koi_wa_Muzukashii,,TV
81,52034,Oshi_no_Ko,,TV
82,1589,Bartender,,TV
83,13759,Sakura-sou_no_Pet_na_Kanojo,,TV
84,1639,Boku_no_Pico,,OVA
85,45613,Kawaii_dake_ja_Nai_Shikimori-san,,TV
86,34822,Tsuki_ga_Kirei,,TV
87,41339,Blue__Line_Step_Brush,,CM
88,44511,Chainsaw_Man,,TV
89,59708,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_4th_Season__2-nensei-hen_1_Gakki,,TV
90,34825,Keppeki_Danshi_Aoyama-kun,,TV
91,35434,Konbini_Kareshi,,TV
92,31636,Dagashi_Kashi,,TV
93,48549,Dr_Stone__New_World,,TV
94,790,Ergo_Proxy,,TV
95,49691,Gunjou_no_Fanfare,,TV
96,34280,Gamers,,TV
97,25183,Gangsta,,TV
98,31914,Shoujo-tachi_wa_Kouya_wo_Mezasu,,TV
99,49154,High_Card,,TV
100,54869,High_Card_Season_2,,TV
101,12189,Hyouka,,TV
102,42351,Senpai_ga_Uzai_Kouhai_no_Hanashi,,TV
103,49470,Mamahaha_no_Tsurego_ga_Motokano_datta,,TV
104,14921,RDG__Red_Data_Girl,,TV
105,38992,Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita,,TV
106,50416,Skip_to_Loafer,,TV
107,35062,Mahoutsukai_no_Yome,,TV
108,32902,Mahoutsukai_no_Yome__Hoshi_Matsu_Hito,,OVA
109,28625,Shisha_no_Teikoku,,Movie
110,32948,Fune_wo_Amu,,TV
111,25867,Rolling%E2%98%86Girls,,TV
