,MAL_id,Title,Score,Type
0,41457,86,9.0,TV
1,54744,Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san,7.0,TV
2,31374,Shingeki_Kyojin_Chuugakkou,7.0,TV
3,57181,Ao_no_Hako,8.0,TV
4,57334,Dandadan,9.0,TV
5,52701,Dungeon_Meshi,7.0,TV
6,40956,Enen_no_Shouboutai__Ni_no_Shou,8.0,TV
7,28825,Himouto_Umaru-chan,8.0,TV
8,30831,Kono_Subarashii_Sekai_ni_Shukufuku_wo,7.0,TV
9,58855,Yuru_Camp%E2%96%B3_Season_3_Specials,9.0,Special
10,56975,Maomao_no_Hitorigoto,,ONA
11,52211,Mashle,8.0,TV
12,58426,Shikanoko_Nokonoko_Koshitantan,7.0,TV
13,33486,Boku_no_Hero_Academia_2nd_Season,8.0,TV
14,53126,Yamada-kun_to_Lv999_no_Koi_wo_Suru,8.0,TV
15,54198,Yoru_wa_Neko_to_Issho_Season_2,8.0,ONA
16,55894,Bokura_no_Ame-iro_Protocol,8.0,TV
17,45613,Kawaii_dake_ja_Nai_Shikimori-san,7.0,TV
18,35860,Karakai_Jouzu_no_Takagi-san,7.0,TV
19,58514,Kusuriya_no_Hitorigoto_2nd_Season,9.0,TV
20,54900,Wind_Breaker,8.0,TV
21,55866,Yubisaki_to_Renren,9.0,TV
22,49520,Aharen-san_wa_Hakarenai,7.0,TV
23,24833,Ansatsu_Kyoushitsu,8.0,TV
24,30654,Ansatsu_Kyoushitsu_2nd_Season,10.0,TV
25,16498,Shingeki_no_Kyojin,8.0,TV
26,18397,Shingeki_no_Kyojin_OVA,7.0,OVA
27,25777,Shingeki_no_Kyojin_Season_2,8.0,TV
28,35760,Shingeki_no_Kyojin_Season_3,7.0,TV
29,38524,Shingeki_no_Kyojin_Season_3_Part_2,8.0,TV
30,40028,Shingeki_no_Kyojin__The_Final_Season,9.0,TV
31,51535,Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,9.0,TV Special
32,48583,Shingeki_no_Kyojin__The_Final_Season_Part_2,10.0,TV
33,36106,Shingeki_no_Kyojin__Lost_Girls,8.0,OVA
34,25781,Shingeki_no_Kyojin__Kuinaki_Sentaku,8.0,OVA
35,54309,Blue_Archive_the_Animation,7.0,TV
36,47917,Bocchi_the_Rock,10.0,TV
37,33080,Brotherhood__Final_Fantasy_XV,8.0,ONA
38,50549,Bubble,10.0,ONA
39,53411,Buddy_Daddies,9.0,TV
40,513,Tenkuu_no_Shiro_Laputa,9.0,Movie
41,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,7.0,TV
42,51096,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,7.0,TV
43,51180,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_3rd_Season,7.0,TV
44,38000,Kimetsu_no_Yaiba,9.0,TV
45,40456,Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,8.0,Movie
46,47778,Kimetsu_no_Yaiba__Yuukaku-hen,10.0,TV
47,55701,Kimetsu_no_Yaiba__Hashira_Geiko-hen,9.0,TV
48,49926,Kimetsu_no_Yaiba__Mugen_Ressha-hen,7.0,TV
49,51019,Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,9.0,TV
50,38671,Enen_no_Shouboutai,8.0,TV
51,52991,Sousou_no_Frieren,10.0,TV
52,55102,Girls_Band_Cry,8.0,TV
53,38816,Hello_World,9.0,Movie
54,431,Howl_no_Ugoku_Shiro,9.0,Movie
55,50796,Kimi_wa_Houkago_Insomnia,9.0,TV
56,10408,Hotarubi_no_Mori_e,9.0,Movie
57,54839,Yoru_no_Kurage_wa_Oyogenai,9.0,TV
58,40748,Jujutsu_Kaisen,8.0,TV
59,48561,Jujutsu_Kaisen_0_Movie,9.0,Movie
60,51009,Jujutsu_Kaisen_2nd_Season,9.0,TV
61,5680,K-On,9.0,TV
62,6862,K-On__Live_House,9.0,Special
63,7791,K-On,10.0,TV
64,9617,K-On_Movie,10.0,Movie
65,9734,K-On__Keikaku,9.0,Special
66,9203,K-On__Ura-On,9.0,Special
67,7017,K-On__Ura-On,9.0,Special
68,37999,Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,10.0,TV
69,52198,Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,9.0,Movie
70,43608,Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,10.0,TV
71,43609,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen_OVA,8.0,OVA
72,40591,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,10.0,TV
73,512,Majo_no_Takkyuubin,9.0,Movie
74,48926,Komi-san_wa_Comyushou_desu,9.0,TV
75,50631,Komi-san_wa_Comyushou_desu_2nd_Season,8.0,TV
