,MAL_id,Title,Score,Type
0,57334,Dandadan,,TV
1,50528,Golden_Kamuy_4th_Season,,TV
2,55823,Natsume_Yuujinchou_Shichi,,TV
3,55115,Hokkyoku_Hyakkaten_no_Concierge-san,,Movie
4,1689,Byousoku_5_Centimeter,7.0,Movie
5,32998,91_Days,6.0,TV
6,34777,91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,5.0,Special
7,28851,Koe_no_Katachi,7.0,Movie
8,41168,Nakitai_Watashi_wa_Neko_wo_Kaburu,7.0,ONA
9,18689,Diamond_no_Ace,8.0,TV
10,38731,Diamond_no_Ace__Act_II,7.0,TV
11,25341,Diamond_no_Ace_OVA,7.0,OVA
12,30230,Diamond_no_Ace__Second_Season,8.0,TV
13,34984,Koi_wa_Ameagari_no_You_ni,9.0,TV
14,31580,Ajin,7.0,TV
15,33253,Ajin_Part_2,7.0,TV
16,47,Akira,7.0,Movie
17,6547,Angel_Beats,6.0,TV
18,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,8.0,TV
19,16498,Shingeki_no_Kyojin,9.0,TV
20,25777,Shingeki_no_Kyojin_Season_2,8.0,TV
21,35760,Shingeki_no_Kyojin_Season_3,6.0,TV
22,38524,Shingeki_no_Kyojin_Season_3_Part_2,8.0,TV
23,40028,Shingeki_no_Kyojin__The_Final_Season,7.0,TV
24,51535,Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,7.0,TV Special
25,48583,Shingeki_no_Kyojin__The_Final_Season_Part_2,7.0,TV
26,2251,Baccano,7.0,TV
27,3901,Baccano_Specials,7.0,Special
28,7674,Bakuman,7.0,TV
29,10030,Bakuman_2nd_Season,8.0,TV
30,12365,Bakuman_3rd_Season,7.0,TV
31,36649,Banana_Fish,4.0,TV
32,22789,Barakamon,9.0,TV
33,1016,Gunnm,6.0,OVA
34,10218,Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago,7.0,Movie
35,18153,Kyoukai_no_Kanata,6.0,TV
36,25015,Kyoukai_no_Kanata_Movie_1__Ill_Be_Here_-_Kako-hen,5.0,Movie
37,4898,Kuroshitsuji,5.0,TV
38,14075,Zetsuen_no_Tempest,6.0,TV
39,41467,Bleach__Sennen_Kessen-hen,5.0,TV
40,53998,Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,,TV
41,9919,Ao_no_Exorcist,6.0,TV
42,33506,Ao_no_Exorcist__Kyoto_Fujouou-hen,6.0,TV
43,50183,Blue_Giant,8.0,Movie
44,21995,Ao_Haru_Ride,7.0,TV
45,24151,Ao_Haru_Ride_OVA,8.0,OVA
46,53411,Buddy_Daddies,7.0,TV
47,31478,Bungou_Stray_Dogs,8.0,TV
48,32867,Bungou_Stray_Dogs_2nd_Season,8.0,TV
49,33071,Bungou_Stray_Dogs__Hitori_Ayumu,7.0,OVA
50,38003,Bungou_Stray_Dogs_3rd_Season,6.0,TV
51,34944,Bungou_Stray_Dogs__Dead_Apple,7.0,Movie
52,10162,Usagi_Drop,10.0,TV
53,11113,Usagi_Drop_Specials,10.0,Special
54,388,Capeta,6.0,TV
55,232,Cardcaptor_Sakura,8.0,TV
56,372,Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,7.0,Movie
57,371,Cardcaptor_Sakura_Movie_1,7.0,Movie
