,MAL_id,Title,Score,Type
0,41457,86,,TV
1,48569,86_Part_2,,TV
2,36432,Toaru_Majutsu_no_Index_III,,TV
3,38481,Toaru_Kagaku_no_Railgun_T,,TV
4,35839,Sora_yori_mo_Tooi_Basho,,TV
5,30869,Ajin_Part_2__Shoutotsu,,Movie
6,30870,Ajin_Part_3__Shougeki,,Movie
7,34566,Boruto__Naruto_Next_Generations,7.0,TV
8,41694,Hataraku_Saibou_Black,,TV
9,39586,Hataraku_Saibou,,TV
10,1535,Death_Note,,TV
11,2994,Death_Note__Rewrite,,TV Special
12,28223,Death_Parade,,TV
13,49926,Kimetsu_no_Yaiba__Mugen_Ressha-hen,,TV
14,227,FLCL,,OVA
15,40005,Quanzhi_Fashi_IV,,ONA
16,48941,Quanzhi_Fashi_V,,ONA
17,467,Koukaku_Kidoutai__Stand_Alone_Complex,,TV
18,801,Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,,TV
19,35838,Shoujo_Shuumatsu_Ryokou,,TV
20,47160,Goblin_Slayer_II,,TV
21,37105,Grand_Blue,,TV
22,16528,Hal,,Movie
23,36296,Hinamatsuri,,TV
24,53516,Tensei_shitara_Dainana_Ouji_Datta_node_Kimama_ni_Majutsu_wo_Kiwamemasu,,TV
25,37497,Irozuku_Sekai_no_Ashita_kara,,TV
26,54449,Ishura,,TV
27,58484,Ishura_2nd_Season,,TV
28,6594,Katanagatari,,TV
29,10536,Kimi_ni_Todoke_2nd_Season__Minitodo_Gekijou,,Special
30,2175,Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You,,Movie
31,1379,Kino_no_Tabi__The_Beautiful_World_-_Nanika_wo_Suru_Tame_ni_-_Life_Goes_On,,Movie
32,486,Kino_no_Tabi__The_Beautiful_World,,TV
33,35079,Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series,,TV
34,41109,Log_Horizon__Entaku_Houkai,,TV
35,42603,Boku_no_Hero_Academia__Ikinokore_Kesshi_no_Survival_Kunren,,ONA
36,39547,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,,TV
37,31537,Manaria_Friends,,TV
38,12467,Nazo_no_Kanojo_X,,TV
39,13093,Nazo_no_Kanojo_X__Nazo_no_Natsu_Matsuri,,OVA
40,877,Nana,,TV
41,1869,Nana_Recaps,,TV Special
42,33102,Nijiiro_Days__Houkago_Special,,TV Special
43,33674,No_Game_No_Life__Zero,,Movie
44,17549,Non_Non_Biyori,,TV
45,21,One_Piece,9.0,TV
46,35247,Owarimonogatari_2nd_Season,,TV Special
47,1943,Paprika,,Movie
48,42627,Peach_Boy_Riverside,,TV
49,31414,Nijiiro_Days,,TV
50,33181,Nijiiro_Days__Nijiiro_Biyori,,OVA
