,MAL_id,Title,Score,Type
0,34618,Blend_S,8.0,TV
1,25835,Shirobako,7.0,TV
2,7785,Yojouhan_Shinwa_Taikei,8.0,TV
3,33352,Violet_Evergarden,,TV
4,28851,Koe_no_Katachi,8.0,Movie
5,1292,Afro_Samurai,8.0,TV
6,47,Akira,8.0,Movie
7,16498,Shingeki_no_Kyojin,7.0,TV
8,25777,Shingeki_no_Kyojin_Season_2,7.0,TV
9,35760,Shingeki_no_Kyojin_Season_3,8.0,TV
10,38524,Shingeki_no_Kyojin_Season_3_Part_2,8.0,TV
11,2251,Baccano,8.0,TV
12,5081,Bakemonogatari,9.0,TV
13,39195,Beastars,8.0,TV
14,2025,Darker_than_Black__Kuro_no_Keiyakusha,7.0,TV
15,974,Dead_Leaves,5.0,Movie
16,28223,Death_Parade,7.0,TV
17,38000,Kimetsu_no_Yaiba,8.0,TV
18,813,Dragon_Ball_Z,5.0,TV
19,6746,Durarara,6.0,TV
20,31043,Boku_dake_ga_Inai_Machi,7.0,TV
21,237,Koukyoushihen_Eureka_Seven,8.0,TV
22,34662,Fate_Apocrypha,5.0,TV
23,22297,Fate_stay_night__Unlimited_Blade_Works,5.0,TV
24,28701,Fate_stay_night__Unlimited_Blade_Works_2nd_Season,4.0,TV
25,10087,Fate_Zero,7.0,TV
26,11741,Fate_Zero_2nd_Season,8.0,TV
27,317,Final_Fantasy_VII__Advent_Children,6.0,Movie
28,227,FLCL,10.0,OVA
29,28171,Shokugeki_no_Souma,6.0,TV
30,5114,Fullmetal_Alchemist__Brotherhood,10.0,TV
31,578,Hotaru_no_Haka,,Movie
32,2001,Tengen_Toppa_Gurren_Lagann,8.0,TV
33,21855,Hanamonogatari,6.0,TV Special
34,934,Higurashi_no_Naku_Koro_ni,7.0,TV
35,431,Howl_no_Ugoku_Shiro,7.0,Movie
36,11061,Hunter_x_Hunter_2011,9.0,TV
37,5680,K-On,7.0,TV
38,18679,Kill_la_Kill,8.0,TV
39,35776,Kingdom_Hearts_%CF%87_Back_Cover,3.0,OVA
40,31798,Kiznaiver,7.0,TV
41,9260,Kizumonogatari_I__Tekketsu-hen,8.0,Movie
42,31757,Kizumonogatari_II__Nekketsu-hen,8.0,Movie
