,MAL_id,Title,Score,Type
0,46352,Blue_Period,6.0,TV
1,235,Meitantei_Conan,9.0,TV
2,48661,JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean,8.0,ONA
3,48926,Komi-san_wa_Comyushou_desu,9.0,TV
4,45576,Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,10.0,TV
5,21,One_Piece,10.0,TV
6,48556,Takt_Op_Destiny,9.0,TV
7,42625,Heion_Sedai_no_Idaten-tachi,9.0,TV
8,47790,Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru,8.0,TV
9,41457,86,9.0,TV
10,4654,Toaru_Majutsu_no_Index,7.0,TV
11,8937,Toaru_Majutsu_no_Index_II,6.0,TV
12,36432,Toaru_Majutsu_no_Index_III,5.0,TV
13,28851,Koe_no_Katachi,7.0,Movie
14,22199,Akame_ga_Kill,8.0,TV
15,47,Akira,9.0,Movie
16,41433,Akudama_Drive,7.0,TV
17,22147,Amagi_Brilliant_Park,7.0,TV
18,31810,Amakano,7.0,OVA
19,41261,Ane_wa_Yanmama_Junyuu-chuu,9.0,OVA
20,30614,Ane_Yome_Quartet,9.0,OVA
21,6547,Angel_Beats,6.0,TV
22,36882,Arifureta_Shokugyou_de_Sekai_Saikyou,,TV
23,16498,Shingeki_no_Kyojin,10.0,TV
24,25777,Shingeki_no_Kyojin_Season_2,9.0,TV
25,35760,Shingeki_no_Kyojin_Season_3,9.0,TV
26,38524,Shingeki_no_Kyojin_Season_3_Part_2,10.0,TV
27,40028,Shingeki_no_Kyojin__The_Final_Season,10.0,TV
28,5081,Bakemonogatari,9.0,TV
29,7674,Bakuman,8.0,TV
30,10030,Bakuman_2nd_Season,8.0,TV
31,12365,Bakuman_3rd_Season,8.0,TV
32,43814,Deatte_5-byou_de_Battle,6.0,TV
33,39195,Beastars,8.0,TV
34,40935,Beastars_2nd_Season,8.0,TV
35,57,Beck,8.0,TV
36,9513,Beelzebub,7.0,TV
37,34572,Black_Clover,9.0,TV
38,269,Bleach,8.0,TV
39,34451,Kekkai_Sensen___Beyond,8.0,TV
40,9919,Ao_no_Exorcist,8.0,TV
41,33506,Ao_no_Exorcist__Kyoto_Fujouou-hen,8.0,TV
42,31478,Bungou_Stray_Dogs,7.0,TV
43,32867,Bungou_Stray_Dogs_2nd_Season,7.0,TV
44,38003,Bungou_Stray_Dogs_3rd_Season,8.0,TV
45,34382,Citrus,1.0,TV
46,2167,Clannad,7.0,TV
47,4181,Clannad__After_Story,6.0,TV
48,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,7.0,TV
49,1,Cowboy_Bebop,9.0,TV
50,35849,Darling_in_the_FranXX,9.0,TV
51,38656,Darwins_Game,5.0,TV
52,15583,Date_A_Live,8.0,TV
53,19163,Date_A_Live_II,8.0,TV
54,36633,Date_A_Live_III,8.0,TV
55,6880,Deadman_Wonderland,8.0,TV
56,1535,Death_Note,10.0,TV
57,28223,Death_Parade,9.0,TV
58,38000,Kimetsu_no_Yaiba,10.0,TV
59,40456,Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,10.0,Movie
60,1313,Digimon_Adventure_02,8.0,TV
61,859,Digimon_Savers,3.0,TV
62,1132,Digimon_Frontier,4.0,TV
63,874,Digimon_Tamers,4.0,TV
64,552,Digimon_Adventure,6.0,TV
65,37982,Domestic_na_Kanojo,8.0,TV
66,42361,Ijiranaide_Nagatoro-san,8.0,TV
67,38668,Dorohedoro,8.0,TV
68,37520,Dororo,8.0,TV
69,38691,Dr_Stone,10.0,TV
70,40852,Dr_Stone__Stone_Wars,9.0,TV
71,223,Dragon_Ball,8.0,TV
72,225,Dragon_Ball_GT,7.0,TV
73,30694,Dragon_Ball_Super,8.0,TV
74,813,Dragon_Ball_Z,8.0,TV
75,6746,Durarara,8.0,TV
76,39530,Ecchi_na_Oneechan_ni_Shiboraretai,3.0,OVA
77,15,Eyeshield_21,6.0,TV
78,263,Hajime_no_Ippo,9.0,TV
79,28171,Shokugeki_no_Souma,8.0,TV
80,40902,Shokugeki_no_Souma__Gou_no_Sara,8.0,TV
81,39940,Shokugeki_no_Souma__Shin_no_Sara,8.0,TV
82,32282,Shokugeki_no_Souma__Ni_no_Sara,8.0,TV
83,35788,Shokugeki_no_Souma__San_no_Sara,8.0,TV
84,36949,Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,8.0,TV
85,5114,Fullmetal_Alchemist__Brotherhood,10.0,TV
86,43969,Kanojo_mo_Kanojo,7.0,TV
87,268,Golden_Boy,8.0,OVA
88,17895,Golden_Time,8.0,TV
89,37105,Grand_Blue,8.0,TV
90,578,Hotaru_no_Haka,7.0,Movie
91,245,Great_Teacher_Onizuka,9.0,TV
92,10793,Guilty_Crown,8.0,TV
93,20583,Haikyuu,8.0,TV
94,28891,Haikyuu_Second_Season,8.0,TV
95,38883,Haikyuu_To_the_Top,8.0,TV
96,40776,Haikyuu_To_the_Top_Part_2,8.0,TV
97,270,Hellsing,8.0,TV
98,40938,Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,3.0,TV
99,42897,Horimiya,9.0,TV
100,41623,Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu_%CE%A9,5.0,TV
101,136,Hunter_x_Hunter,9.0,TV
102,11061,Hunter_x_Hunter_2011,10.0,TV
103,36098,Kimi_no_Suizou_wo_Tabetai,9.0,Movie
104,41380,100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru,5.0,TV
105,34542,Inuyashiki,8.0,TV
106,28121,Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,7.0,TV
107,37347,Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II,8.0,TV
108,40454,Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III,8.0,TV
109,14719,JoJo_no_Kimyou_na_Bouken_TV,8.0,TV
110,31933,JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,8.0,TV
111,37991,JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,8.0,TV
112,20899,JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,9.0,TV
113,26055,JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen,9.0,TV
114,40748,Jujutsu_Kaisen,9.0,TV
115,37999,Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,9.0,TV
116,40591,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,9.0,TV
117,3002,Gyakkyou_Burai_Kaiji__Ultimate_Survivor,9.0,TV
118,36903,Kengan_Ashura,6.0,ONA
119,40269,Kengan_Ashura_Part_2,8.0,ONA
120,18679,Kill_la_Kill,7.0,TV
121,7593,Kiss_x_Sis_TV,8.0,TV
122,30831,Kono_Subarashii_Sekai_ni_Shukufuku_wo,9.0,TV
123,38040,Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,9.0,Movie
124,32937,Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,9.0,TV
125,11771,Kuroko_no_Basket,8.0,TV
126,16894,Kuroko_no_Basket_2nd_Season,8.0,TV
127,24415,Kuroko_no_Basket_3rd_Season,9.0,TV
128,31658,Kuroko_no_Basket_Movie_4__Last_Game,8.0,Movie
129,17265,Log_Horizon,8.0,TV
130,23321,Log_Horizon_2nd_Season,7.0,TV
131,41109,Log_Horizon__Entaku_Houkai,7.0,TV
132,31741,Magi__Sinbad_no_Bouken_TV,7.0,TV
133,14513,Magi__The_Labyrinth_of_Magic,7.0,TV
134,7054,Kaichou_wa_Maid-sama,6.0,TV
135,29575,Mankitsu_Happening,9.0,OVA
136,31646,3-gatsu_no_Lion,8.0,TV
137,35180,3-gatsu_no_Lion_2nd_Season,9.0,TV
138,33487,Masamune-kun_no_Revenge,4.0,TV
139,32182,Mob_Psycho_100,9.0,TV
140,37510,Mob_Psycho_100_II,9.0,TV
141,39535,Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,9.0,TV
142,2104,Seto_no_Hanayome,8.0,TV
143,38555,Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta,4.0,TV
144,42282,Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_X,5.0,TV
145,14813,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,9.0,TV
146,39547,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,9.0,TV
147,23847,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku,9.0,TV
148,877,Nana,8.0,TV
