,MAL_id,Title,Score,Type
0,38480,Toaru_Kagaku_no_Accelerator,,TV
1,36649,Banana_Fish,,TV
2,37435,Carole___Tuesday,,TV
3,35821,Chio-chan_no_Tsuugakuro,,TV
4,35849,Darling_in_the_FranXX,,TV
5,27833,Durararax2_Ketsu,,TV
6,28205,Fastening_Days,8.0,ONA
7,31376,Flying_Witch,,TV
8,36704,Free_Dive_to_the_Future,,TV
9,1974,Glass_no_Kamen_2005,,TV
10,40052,Great_Pretender,,TV
11,41006,Higurashi_no_Naku_Koro_ni_Gou,,TV
12,136,Hunter_x_Hunter,,TV
13,40716,Kakushigoto,,TV
14,851,Kyou_kara_Ore_wa,,OVA
15,820,Ginga_Eiyuu_Densetsu,,OVA
16,350,Ojamajo_Doremi,,TV
17,4087,Michiko_to_Hatchin,,TV
18,80,Kidou_Senshi_Gundam,,TV
19,852,Gokinjo_Monogatari,,TV
20,32729,Orange,,TV
21,5682,Phantom__Requiem_for_the_Phantom,,TV
22,721,Princess_Tutu,,TV
23,30736,Shingeki_no_Bahamut__Virgin_Soul,,TV
24,6114,Rainbow__Nisha_Rokubou_no_Shichinin,,TV
25,40839,Kanojo_Okarishimasu,,TV
26,31173,Akagami_no_Shirayuki-hime_2nd_Season,,TV
27,26,Texhnolyze,,TV
28,35062,Mahoutsukai_no_Yome,,TV
29,17909,Uchouten_Kazoku,,TV
30,182,Tenkuu_no_Escaflowne,,TV
31,34009,To_Be_Hero,,TV
32,2402,Ashita_no_Joe,,TV
33,40513,Nami_yo_Kiitekure,,TV
34,34636,Ballroom_e_Youkoso,,TV
35,41911,Hanyou_no_Yashahime__Sengoku_Otogizoushi,,TV
36,52034,Oshi_no_Ko,6.0,TV
37,7669,Bungaku_Shoujo_Kyou_no_Oyatsu__Hatsukoi,5.0,OVA
38,36840,25-sai_no_Joshikousei,4.0,ONA
39,1689,Byousoku_5_Centimeter,8.0,Movie
40,10079,Hoshizora_e_Kakaru_Hashi,5.0,TV
41,4654,Toaru_Majutsu_no_Index,5.0,TV
42,8937,Toaru_Majutsu_no_Index_II,6.0,TV
43,11743,Toaru_Majutsu_no_Index_Movie__Endymion_no_Kiseki,2.0,Movie
44,6213,Toaru_Kagaku_no_Railgun,7.0,TV
45,16049,Toaru_Kagaku_no_Railgun_S,7.0,TV
46,8333,Kodomo_no_Keijijougaku,4.0,ONA
47,9750,Itsuka_Tenma_no_Kuro_Usagi,5.0,TV
48,7810,Yami_wo_Mitsumeru_Hane,3.0,Movie
49,16067,Nagi_no_Asu_kara,6.0,TV
50,28851,Koe_no_Katachi,7.0,Movie
51,41168,Nakitai_Watashi_wa_Neko_wo_Kaburu,6.0,ONA
52,33337,ACCA__13-ku_Kansatsu-ka,5.0,TV
53,11759,Accel_World,6.0,TV
54,13161,Hagure_Yuusha_no_Aesthetica,4.0,TV
55,34984,Koi_wa_Ameagari_no_You_ni,6.0,TV
56,32977,Aggressive_Retsuko,5.0,TV
57,101,Air,5.0,TV
58,102,Aishiteruze_Baby%E2%98%85%E2%98%85,6.0,TV
59,17082,Aiura,5.0,TV
60,12149,AKB0048,5.0,TV
61,47,Akira,9.0,Movie
62,1177,Alien_9,8.0,OVA
63,8676,Amagami_SS,6.0,TV
64,9117,Amagami_SS_OVA,6.0,OVA
65,11235,Amagami_SS__Plus,6.0,TV
66,12669,Amagami_SS__Plus__Extra_Episode__Plus,6.0,Special
67,9925,Amagami_SS__Tachibana_Miya-hen_-_Imouto,6.0,Special
68,22147,Amagi_Brilliant_Park,5.0,TV
69,31771,Amanchu,6.0,TV
70,15085,Amnesia,5.0,TV
71,31404,Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta,6.0,TV
72,6547,Angel_Beats,7.0,TV
73,10067,Angel_Beats_Another_Epilogue,7.0,Special
74,2832,AniKuri15,,TV Special
75,283,Akage_no_Anne,10.0,TV
76,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,8.0,TV
77,11111,Another,6.0,TV
78,10447,Aquarion_Evol,6.0,TV
79,7647,Arakawa_Under_the_Bridge,6.0,TV
80,8630,Hidan_no_Aria,5.0,TV
81,10604,Hidan_no_Aria__Butei_ga_Kitarite_Onsen_Kenshuu,5.0,Special
82,9736,Astarotte_no_Omocha,5.0,TV
83,16498,Shingeki_no_Kyojin,6.0,TV
84,25777,Shingeki_no_Kyojin_Season_2,3.0,TV
85,66,Azumanga_Daiou_The_Animation,8.0,TV
86,2251,Baccano,,TV
87,6347,Baka_to_Test_to_Shoukanjuu,5.0,TV
88,5081,Bakemonogatari,7.0,TV
89,6948,Bakemonogatari_Recap,7.0,TV Special
90,22789,Barakamon,7.0,TV
91,57,Beck,,TV
92,3220,Kanashimi_no_Belladonna,7.0,Movie
93,10396,Ben-To,6.0,TV
94,33,Kenpuu_Denki_Berserk,7.0,TV
95,18153,Kyoukai_no_Kanata,5.0,TV
96,5819,Tori_no_Uta,5.0,OVA
97,2607,Birth,6.0,OVA
98,20787,Black_Bullet,5.0,TV
99,889,Black_Lagoon,7.0,TV
100,1519,Black_Lagoon__The_Second_Barrage,,TV
101,11285,Black%E2%98%85Rock_Shooter_TV,5.0,TV
102,7059,Black%E2%98%85Rock_Shooter_OVA,5.0,OVA
103,10490,Blood-C,4.0,TV
104,357,Bokusatsu_Tenshi_Dokuro-chan,,OVA
105,2131,Bokusatsu_Tenshi_Dokuro-chan_2,,OVA
106,21995,Ao_Haru_Ride,5.0,TV
107,16405,Boku_no_Imouto_wa_Osaka_Okan,5.0,TV
108,819,Boku_wa_Imouto_ni_Koi_wo_Suru,6.0,OVA
109,25839,Bonjour%E2%99%AAKoiaji_P%C3%A2tisserie,4.0,ONA
110,11241,Brave_10,3.0,TV
111,15605,Brothers_Conflict,3.0,TV
112,14345,Btooom,5.0,TV
113,10162,Usagi_Drop,7.0,TV
114,1536,Busou_Renkin,7.0,TV
115,5116,Candy_Boy_Episode__EX01_-_Mirai_Yohouzu,6.0,OVA
116,6479,Candy_Boy_Episode__EX02_-_Shiawase_Kyouyuu_Riron,5.0,Special
117,4535,Candy_Boy__Nonchalant_Talk_of_the_Certain_Twin_Sisters_in_Daily_Life,5.0,ONA
118,3456,Candy%E2%98%86Boy__Side_Story_For_Archive,6.0,ONA
119,513,Tenkuu_no_Shiro_Laputa,9.0,Movie
120,6280,Cat_Shit_One,5.0,ONA
121,10578,C%C2%B3,5.0,TV
122,3087,Cencoroll,6.0,Movie
123,28999,Charlotte,4.0,TV
124,4975,Ch%C3%A4oS_HEAd,6.0,TV
125,10800,Chihayafuru,8.0,TV
126,14397,Chihayafuru_2,8.0,TV
127,18745,Chihayafuru_2__Waga_Miyo_ni_Furu_Nagame_Shima_ni,7.0,OVA
128,37379,Chihayafuru_3,7.0,TV
129,9760,Hoshi_wo_Ou_Kodomo,6.0,Movie
130,59,Chobits,7.0,TV
131,3962,Chocolate_Underground,5.0,ONA
132,2167,Clannad,,TV
133,1723,Clannad_Movie,,Movie
134,4181,Clannad__After_Story,,TV
135,6351,Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen,,Special
136,4059,Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,,Special
137,1818,Claymore,6.0,TV
138,1575,Code_Geass__Hangyaku_no_Lelouch,7.0,TV
139,2904,Code_Geass__Hangyaku_no_Lelouch_R2,6.0,TV
140,1,Cowboy_Bebop,9.0,TV
141,33777,Yodomi_no_Sawagi,5.0,Movie
142,13325,Crimson_Girls__Chikan_Shihai,7.0,OVA
143,9938,Ikoku_Meiro_no_Crois%C3%A9e_The_Animation,5.0,TV
144,114,Sakigake_Cromartie_Koukou,7.0,TV
145,25731,Cross_Ange__Tenshi_to_Ryuu_no_Rondo,5.0,TV
