,MAL_id,Title,Score,Type
0,13125,Shinsekai_yori,,TV
1,1689,Byousoku_5_Centimeter,8.0,Movie
2,28851,Koe_no_Katachi,10.0,Movie
3,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,9.0,TV
4,15039,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,8.0,Movie
5,18893,Aoki_Hagane_no_Arpeggio__Ars_Nova,7.0,TV
6,16498,Shingeki_no_Kyojin,8.0,TV
7,25777,Shingeki_no_Kyojin_Season_2,7.0,TV
8,7674,Bakuman,9.0,TV
9,10030,Bakuman_2nd_Season,9.0,TV
10,12365,Bakuman_3rd_Season,9.0,TV
11,18153,Kyoukai_no_Kanata,8.0,TV
12,28675,Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen,8.0,Movie
13,4898,Kuroshitsuji,8.0,TV
14,269,Bleach,7.0,TV
15,4835,Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,7.0,Movie
16,8247,Bleach_Movie_4__Jigoku-hen,7.0,Movie
17,1686,Bleach_Movie_1__Memories_of_Nobody,7.0,Movie
18,2889,Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,7.0,Movie
19,21995,Ao_Haru_Ride,8.0,TV
20,24151,Ao_Haru_Ride_OVA,7.0,OVA
21,28755,Boruto__Naruto_the_Movie,8.0,Movie
22,21431,Gokukoku_no_Brynhildr,7.0,TV
23,28999,Charlotte,8.0,TV
24,2167,Clannad,10.0,TV
25,4181,Clannad__After_Story,10.0,TV
26,6351,Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen,8.0,Special
27,4059,Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,8.0,Special
28,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,8.0,TV
29,1,Cowboy_Bebop,8.0,TV
30,35849,Darling_in_the_FranXX,8.0,TV
31,6880,Deadman_Wonderland,7.0,TV
32,225,Dragon_Ball_GT,7.0,TV
33,987,Dragon_Ball_GT__Gokuu_Gaiden_Yuuki_no_Akashi_wa_Suushinchuu,7.0,TV Special
34,813,Dragon_Ball_Z,8.0,TV
35,6033,Dragon_Ball_Kai,7.0,TV
36,31043,Boku_dake_ga_Inai_Machi,9.0,TV
37,6702,Fairy_Tail,8.0,TV
38,22043,Fairy_Tail_2014,8.0,TV
39,39940,Shokugeki_no_Souma__Shin_no_Sara,8.0,TV
40,35788,Shokugeki_no_Souma__San_no_Sara,8.0,TV
41,36949,Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,8.0,TV
42,17895,Golden_Time,9.0,TV
43,10719,Boku_wa_Tomodachi_ga_Sukunai,7.0,TV
44,14967,Boku_wa_Tomodachi_ga_Sukunai_Next,7.0,TV
45,11617,High_School_DxD,8.0,TV
46,24703,High_School_DxD_BorN,8.0,TV
47,32215,High_School_DxD_BorN__Yomigaeranai_Fushichou,7.0,OVA
48,34281,High_School_DxD_Hero,7.0,TV
49,37719,High_School_DxD_Hero__Taiikukan-ura_no_Holy,7.0,TV Special
50,15451,High_School_DxD_New,8.0,TV
51,30300,High_School_DxD_New__Oppai_Tsutsumimasu,7.0,OVA
52,12729,High_School_DxD_OVA,7.0,OVA
53,13357,High_School_DxD_Specials,7.0,Special
54,8074,Highschool_of_the_Dead,7.0,TV
55,9515,Highschool_of_the_Dead__Drifters_of_the_Dead,6.0,OVA
56,431,Howl_no_Ugoku_Shiro,9.0,Movie
57,12189,Hyouka,8.0,TV
58,9041,IS__Infinite_Stratos,7.0,TV
59,18247,IS__Infinite_Stratos_2,7.0,TV
60,10408,Hotarubi_no_Mori_e,9.0,Movie
61,11013,Inu_x_Boku_SS,7.0,TV
62,249,InuYasha,8.0,TV
63,450,InuYasha_Movie_2__Kagami_no_Naka_no_Mugenjou,7.0,Movie
64,451,InuYasha_Movie_3__Tenka_Hadou_no_Ken,8.0,Movie
65,449,InuYasha_Movie_4__Guren_no_Houraijima,7.0,Movie
66,452,InuYasha_Movie_1__Toki_wo_Koeru_Omoi,8.0,Movie
67,6811,InuYasha__Kanketsu-hen,8.0,TV
68,34542,Inuyashiki,7.0,TV
69,21653,IS__Infinite_Stratos_2_-_World_Purge-hen,7.0,OVA
70,144,Kanon,7.0,TV
71,1530,Kanon_2006,8.0,TV
72,32686,Keijo,7.0,TV
73,512,Majo_no_Takkyuubin,8.0,Movie
74,7593,Kiss_x_Sis_TV,7.0,TV
75,11887,Kokoro_Connect,9.0,TV
76,14741,Chuunibyou_demo_Koi_ga_Shitai,8.0,TV
77,18671,Chuunibyou_demo_Koi_ga_Shitai_Ren,8.0,TV
78,16934,Chuunibyou_demo_Koi_ga_Shitai_Kirameki_no_Slapstick_Noel,7.0,Special
