,MAL_id,Title,Score,Type
0,8937,Toaru_Majutsu_no_Index_II,,TV
1,36432,Toaru_Majutsu_no_Index_III,,TV
2,38037,Ane_Chijo%E2%99%A5Max_Heart,,OVA
3,21167,Escha___Logy_no_Atelier__Tasogare_no_Sora_no_Renkinjutsushi,,TV
4,31904,Big_Order_TV,,TV
5,34572,Black_Clover,,TV
6,34451,Kekkai_Sensen___Beyond,,TV
7,150,Blood_,,TV
8,10490,Blood-C,,TV
9,38790,Itai_no_wa_Iya_nanode_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu,,TV
10,32867,Bungou_Stray_Dogs_2nd_Season,,TV
11,30296,Rakudai_Kishi_no_Cavalry,,TV
12,1511,Gakuen__Chijoku_no_Zushiki,,OVA
13,7088,Ichiban_Ushiro_no_Daimaou,,TV
14,38297,Maou-sama_Retry,,TV
15,38691,Dr_Stone,,TV
16,23333,DRAMAtical_Murder,,TV
17,5945,Element_Hunters,,TV
18,40956,Enen_no_Shouboutai__Ni_no_Shou,,TV
19,39940,Shokugeki_no_Souma__Shin_no_Sara,,TV
20,36704,Free_Dive_to_the_Future,,TV
21,22265,Free_Eternal_Summer,,TV
22,36876,Furifure_2,,OVA
23,5214,Gakuen_Shimai,,OVA
24,14811,GJ-bu,,TV
25,21635,GJ-bu,,TV Special
26,2494,Goshuushou-sama_Ninomiya-kun,,TV
27,31859,Hai_to_Gensou_no_Grimgar,,TV
28,28891,Haikyuu_Second_Season,,TV
29,32648,Handa-kun,,TV
30,41762,Tenchi_Souzou_Design-bu,,TV
31,37474,Houkago_no_Yuutousei,,OVA
32,49930,Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki_Part_2,,TV
33,41623,Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu_%CE%A9,,TV
34,31845,Masou_Gakuen_HxH,,TV
35,40586,Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita,,TV
36,34506,Idol_Kyousei_Sousa,,OVA
37,37224,JK_to_Inkou_Kyoushi_4_feat_Ero_Giin-sensei,,OVA
38,20899,JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,,TV
39,21563,Kamigami_no_Asobi,,TV
40,34884,Keijo_Specials,,Special
41,40908,Kemono_Jihen,,TV
42,1559,Shijou_Saikyou_no_Deshi_Kenichi,,TV
43,6045,Kimi_ni_Todoke,,TV
44,16353,Love_Lab,,TV
45,1887,Lucky%E2%98%86Star,,TV
46,14513,Magi__The_Labyrinth_of_Magic,,TV
47,31397,Mesu_Kyoushi_4__Kegasareta_Kyoudan,,OVA
48,27633,Gekkan_Shoujo_Nozaki-kun_Specials,,Special
49,45576,Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,,TV
50,38408,Boku_no_Hero_Academia_4th_Season,,TV
51,38453,Natural_Vacation_The_Animation,,OVA
52,10165,Nichijou,,TV
53,41345,Noblesse,,TV
54,23623,Non_Non_Biyori_Repeat,,TV
55,21,One_Piece,,TV
56,43007,Osananajimi_ga_Zettai_ni_Makenai_Love_Comedy,,TV
57,5109,Osananajimi_to_Doukyuusei,,OVA
58,11749,Oshioki__Gakuen_Reijou_Kousei_Keikaku,,OVA
59,36889,Oyasumi_Sex,,OVA
60,30015,ReLIFE,,TV
61,38775,Runes_Pharmacy__Tiarajima_no_Okusuriya-san,,ONA
62,4999,Asu_no_Yoichi,,TV
63,24,School_Rumble,,TV
64,45613,Kawaii_dake_ja_Nai_Shikimori-san,,TV
65,29786,Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai,,TV
66,32587,Shoujo_Ramune,,OVA
67,25283,Kuusen_Madoushi_Kouhosei_no_Kyoukan,,TV
68,21507,Soul_Eater_NOT,,TV
69,36475,Sword_Art_Online_Alternative__Gun_Gale_Online,,TV
70,45055,Taishou_Otome_Otogibanashi,,TV
71,30544,Gakusen_Toshi_Asterisk,,TV
72,48580,Vanitas_no_Karte,,TV
73,48316,Kage_no_Jitsuryokusha_ni_Naritakute,,TV
74,47162,Shokei_Shoujo_no_Virgin_Road,,TV
75,47159,Tensai_Ouji_no_Akaji_Kokka_Saisei_Jutsu,,TV
76,479,Ueki_no_Housoku,,TV
77,39701,Nanatsu_no_Taizai__Kamigami_no_Gekirin,,TV
78,47161,Shikkakumon_no_Saikyou_Kenja,,TV
79,39199,Katsute_Kami_Datta_Kemono-tachi_e,,TV
80,36510,Ulysses__Jehanne_Darc_to_Renkin_no_Kishi,,TV
81,37340,Venus_Blood__Brave,,OVA
82,46095,Vivy__Fluorite_Eyes_Song,,TV
83,4720,White_Album,,TV
84,2266,Gakuen_no_Shuryousha,,OVA
85,33502,Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,,TV
86,7817,B-gata_H-kei,,TV
87,36720,Youkoso_Sukebe_Elf_no_Mori_e,,OVA
88,5762,15_Bishoujo_Hyouryuuki,7.0,OVA
89,33993,300_En_no_Otsukiai_Anime_Edition,,OVA
90,29809,3Ping_Lovers%E2%98%86Ippu_Nisai_no_Sekai_e_Youkoso%E2%99%AA_The_Animation,5.0,OVA
91,4654,Toaru_Majutsu_no_Index,,TV
92,11743,Toaru_Majutsu_no_Index_Movie__Endymion_no_Kiseki,,Movie
93,6213,Toaru_Kagaku_no_Railgun,,TV
94,16049,Toaru_Kagaku_no_Railgun_S,,TV
95,4304,Kodomo_no_Jikan,,OVA
96,17827,Daitoshokan_no_Hitsujikai,,TV
97,16067,Nagi_no_Asu_kara,,TV
98,28851,Koe_no_Katachi,,Movie
99,35413,Imouto_sae_Ireba_Ii,,TV
100,32484,A-Size_Classmate,9.0,OVA
101,11759,Accel_World,10.0,TV
102,13939,Accel_World_EX,,OVA
103,16273,Acchi_Kocchi__Place_Princess,7.0,Special
104,2896,Houkago__Nureta_Seifuku,,OVA
105,22199,Akame_ga_Kill,9.0,TV
106,26449,Akame_ga_Kill_Recap,,TV Special
107,6987,Aki-Sora,8.0,OVA
108,8577,Aki-Sora__Yume_no_Naka,8.0,OVA
109,41433,Akudama_Drive,,TV
110,22729,AldnoahZero,10.0,TV
111,27655,AldnoahZero_Part_2,10.0,TV
112,29223,AldnoahZero_Extra_Archives,,Special
113,22147,Amagi_Brilliant_Park,10.0,TV
114,30206,Amagi_Brilliant_Park__Nonbirishiteiru_Hima_ga_Nai,8.0,Special
115,34530,Anata_wa_Watashi_no_Mono,7.0,OVA
116,9435,Ane_Jiru_2_The_Animation__Shirakawa_Sanshimai_ni_Omakase,8.0,OVA
117,2867,Ane_Jiru_The_Animation__Shirakawa_Sanshimai_ni_Omakase,8.0,OVA
118,30614,Ane_Yome_Quartet,9.0,OVA
119,4600,Aneki_My_Sweet_Elder_Sister_The_Animation,,OVA
120,6547,Angel_Beats,10.0,TV
121,10067,Angel_Beats_Another_Epilogue,9.0,Special
122,9062,Angel_Beats_Specials,10.0,Special
123,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,10.0,TV
124,15039,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,10.0,Movie
125,11111,Another,10.0,TV
126,11701,Another__The_Other_-_Inga,8.0,OVA
127,24133,Taimadou_Gakuen_35_Shiken_Shoutai,,TV
128,8630,Hidan_no_Aria,,TV
129,28883,Hidan_no_Aria_AA,,TV
130,36882,Arifureta_Shokugyou_de_Sekai_Saikyou,,TV
131,33475,Busou_Shoujo_Machiavellianism,,TV
132,24833,Ansatsu_Kyoushitsu,10.0,TV
133,30654,Ansatsu_Kyoushitsu_2nd_Season,,TV
134,16498,Shingeki_no_Kyojin,,TV
135,25777,Shingeki_no_Kyojin_Season_2,,TV
136,35760,Shingeki_no_Kyojin_Season_3,,TV
137,38524,Shingeki_no_Kyojin_Season_3_Part_2,,TV
138,33548,Babyshiba,,Special
139,2251,Baccano,,TV
140,3901,Baccano_Specials,,Special
141,9471,Baka_to_Test_to_Shoukanjuu__Matsuri,,OVA
142,8516,Baka_to_Test_to_Shoukanjuu_Ni,,TV
143,6347,Baka_to_Test_to_Shoukanjuu,,TV
144,24727,Baka_to_Test_to_Shoukanjuu_Ni__Mahou_Hideyoshi_Hideyoshi,,Special
145,35028,Baka_Dakedo_Chinchin_Shaburu_no_dake_wa_Jouzu_na_Chii-chan%E2%99%A1,,OVA
146,32667,Baka_na_Imouto_wo_Rikou_ni_Suru_no_wa_Ore_no_xx_dake_na_Ken_ni_Tsuite,,OVA
147,7870,Baka_to_Test_to_Shoukanjuu_Specials,,Special
148,31298,Baka_to_Test_to_Shoukanjuu__Matsuri_-_Sentakushi_Ikou_nomi,,Special
149,5081,Bakemonogatari,,TV
150,6948,Bakemonogatari_Recap,,TV Special
151,44037,Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,,TV
152,1780,Choukou_Tenshi_Escalayer,,OVA
153,4763,Tsuma_Shibori,,OVA
154,9513,Beelzebub,,TV
155,10479,Beelzebub_Specials,,Special
156,9120,Beelzebub__Hirotta_Akachan_wa_Daimaou,,Special
157,18153,Kyoukai_no_Kanata,,TV
158,368,Bible_Black,,OVA
159,2873,Bible_Black_Only_Version,,OVA
160,972,Bible_Black_Gaiden,,OVA
161,5347,Bible_Black__Imari_Ryoujoku_Genba,,Special
162,1401,Bible_Black__New_Testament,,OVA
163,13223,Bible_Black__New_Testament_Recap,,OVA
164,20787,Black_Bullet,,TV
165,30100,Black_Bullet__Tenchuu%EF%BC%8AGirls,,Special
166,4898,Kuroshitsuji,,TV
167,6707,Kuroshitsuji_II,,TV
168,9136,Kuroshitsuji_II_Specials,,Special
169,22145,Kuroshitsuji__Book_of_Circus,,TV
170,11285,Black%E2%98%85Rock_Shooter_TV,,TV
171,7059,Black%E2%98%85Rock_Shooter_OVA,,OVA
172,22877,Seireitsukai_no_Blade_Dance,,TV
173,14075,Zetsuen_no_Tempest,,TV
174,18767,BlazBlue__Alter_Memory,,TV
175,32502,BlazBlue__Alter_Memory_Specials,,Special
176,34618,Blend_S,,TV
177,24439,Kekkai_Sensen,,TV
178,11633,Blood_Lad,,TV
179,18441,Blood_Lad__Wagahai_wa_Neko_de_wa_Nai,,OVA
180,10694,Bloods__Inraku_no_Ketsuzoku_2,,OVA
181,9919,Ao_no_Exorcist,10.0,TV
182,21995,Ao_Haru_Ride,6.0,TV
183,24151,Ao_Haru_Ride_OVA,6.0,OVA
184,47917,Bocchi_the_Rock,,TV
185,1639,Boku_no_Pico,,OVA
186,29852,Boku_no_Yayoi-san,,OVA
187,33750,Boku_no_Yayoi-san_2,,OVA
188,24641,Baku_Ane__Otouto_Shibocchau_zo_The_Animation,,OVA
189,36225,Baku_Ane_2__Otouto_Ippai_Shibocchau_zo_The_Animation,,OVA
190,2396,Milk_Junkie__Shimai-hen,,OVA
191,25667,Boy_Meets_Harem_The_Animation,,OVA
192,12055,Brandish,,OVA
193,21431,Gokukoku_no_Brynhildr,,TV
194,24695,Gokukoku_no_Brynhildr__Kara_Sawagi,,Special
195,14345,Btooom,,TV
196,31478,Bungou_Stray_Dogs,,TV
197,33071,Bungou_Stray_Dogs__Hitori_Ayumu,,OVA
198,9442,Bust_to_Bust__Chichi_wa_Chichi_ni,,OVA
199,28169,Buta_no_Gotoki_Sanzoku_ni_Torawarete_Shojo_wo_Ubawareru_Kyonyuu_Himekishi___Onna_Senshi,,OVA
200,12293,Campione_Matsurowanu_Kamigami_to_Kamigoroshi_no_Maou,,TV
201,4607,Tsuma_to_Mama_to_Boin,,OVA
202,38659,Shinchou_Yuusha__Kono_Yuusha_ga_Ore_Tueee_Kuse_ni_Shinchou_Sugiru,,TV
203,37141,Hataraku_Saibou,,TV
204,28999,Charlotte,,TV
205,37089,Cherry___Gals%E2%86%91%E2%86%91,,OVA
206,31740,Chicchana_Onaka,,OVA
207,32895,Chijoku_no_Seifuku,,OVA
208,38732,Chikan_Shita_Joshisei_to_Sonogo_Musabori_Au_Youna_Doero_Junai,,ONA
209,9760,Hoshi_wo_Ou_Kodomo,,Movie
210,3962,Chocolate_Underground,,ONA
211,4491,Choisuji,,OVA
212,39523,Choujin_Koukousei-tachi_wa_Isekai_demo_Yoyuu_de_Ikinuku_you_desu,,TV
213,2167,Clannad,,TV
214,1723,Clannad_Movie,,Movie
215,4181,Clannad__After_Story,,TV
216,6351,Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen,,Special
217,4059,Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,,Special
218,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,,TV
219,51096,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,,TV
220,1575,Code_Geass__Hangyaku_no_Lelouch,,TV
221,2904,Code_Geass__Hangyaku_no_Lelouch_R2,,TV
222,11703,Code_Breaker,,TV
223,31403,Colosseum_no_Senki__Another_Story,,OVA
224,41456,Sentouin_Haken_shimasu,,TV
225,9479,Coppelion,,TV
226,15037,Corpse_Party__Tortured_Souls_-_Bougyakusareta_Tamashii_no_Jukyou,,OVA
227,17543,D-Spray,,OVA
228,2352,Daiakuji__The_Xena_Buster,,OVA
229,2353,Daiakuji__The_Xena_Buster_Specials,,OVA
230,37699,Daisuki_na_Mama,,OVA
231,16592,Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation,,TV
232,34747,Meikoku_Gakuen__Jutai-hen,,OVA
233,15583,Date_A_Live,,TV
234,19163,Date_A_Live_II,,TV
235,22961,Date_A_Live_II__Kurumi_Star_Festival,,OVA
236,36633,Date_A_Live_III,,TV
237,24655,Date_A_Live_Movie__Mayuri_Judgment,,Movie
238,17641,Date_A_Live__Date_to_Date,,OVA
239,6880,Deadman_Wonderland,,TV
240,10418,Deadman_Wonderland__Akai_Knife_Tsukai,,OVA
241,34497,Death_March_kara_Hajimaru_Isekai_Kyousoukyoku,,TV
242,1535,Death_Note,,TV
243,28223,Death_Parade,,TV
244,4653,Shakkin_Shimai,,OVA
245,31118,Demon_Busters__Ecchi_na_Ecchi_na_Demon_Taiji_The_Animation,,OVA
246,6893,Oni_Chichi,,OVA
247,38000,Kimetsu_no_Yaiba,,TV
248,25877,Demonion__Gaiden,,OVA
249,7456,Discipline_Zero,,OVA
250,2432,Discipline,,OVA
251,36721,Do_S_na_Seitokaichou-sama_ga_M_Note_ni_Shihai_Saremashita,,OVA
252,10155,Dog_Days,,TV
253,11783,Dog_Days,,TV
254,37405,Dokidoki_Little_Ooyasan,,OVA
255,3944,Dokidoki_Oyako_Lesson__Oshiete_H_na_Obenkyou,,OVA
256,20377,Dorei_Usagi_to_Anthony_The_Animation,,OVA
257,30346,Doukyuusei,,Movie
258,42822,Kai_Byoui_Ramune,,TV
259,30694,Dragon_Ball_Super,,TV
260,25567,DRAMAtical_Murder__Data_xx_Transitory,,Special
261,31886,Dropout,,OVA
262,6746,Durarara,,TV
263,8408,Durarara_Specials,,Special
264,34311,Ecchi_na_Shintai_Sokutei_Anime_Edition,,OVA
265,1250,Erementar_Gerad,,TV
266,38038,Elf_no_Oshiego_to_Sensei,,OVA
267,32872,Energy_Kyouka,,OVA
268,20541,Mikakunin_de_Shinkoukei,,TV
269,37088,Enkou_JK_Bitch_Gal__Ojisan_to_Namapako_Seikatsu,,OVA
270,31043,Boku_dake_ga_Inai_Machi,,TV
271,35815,Boku_dake_ga_Inai_Machi_Recaps,,ONA
272,5315,Ero_Manga_Mitai_na_Koi_Shiyo,,OVA
273,31788,Ero_Manga_H_mo_Manga_mo_Step-up%E2%99%AA,,OVA
274,10779,Eroge_H_mo_Game_mo_Kaihatsu_Zanmai,,OVA
275,32901,Eromanga-sensei,,TV
276,10851,Euphoria,,OVA
277,4601,Fairy_Forest_Remi-chan,,OVA
278,6702,Fairy_Tail,,TV
279,35972,Fairy_Tail__Final_Series,,TV
280,9982,Fairy_Tail_OVA,,OVA
281,22043,Fairy_Tail_2014,,TV
282,30778,Fairy_Tail_Movie_2__Dragon_Cry,,Movie
283,18393,Fairy_Tail_x_Rave,,OVA
284,10087,Fate_Zero,,TV
285,7053,Fault,,OVA
286,33231,Fella_Hame_Lips,,OVA
287,21829,Fella_Pure__Mitarashi-san_Chi_no_Jijou_The_Animation,,OVA
288,38671,Enen_no_Shouboutai,,TV
289,9970,Floating_Material,,OVA
290,28171,Shokugeki_no_Souma,,TV
291,32282,Shokugeki_no_Souma__Ni_no_Sara,,TV
292,35788,Shokugeki_no_Souma__San_no_Sara,,TV
293,36949,Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,,TV
294,1510,Imouto_de_Ikou,,OVA
295,18507,Free,,TV
296,9367,Freezing,,TV
297,18001,Freezing_Vibration,,TV
298,13125,Shinsekai_yori,,TV
299,29573,Fukubiki_Triangle__Futaba_wa_Atafuta_%E2%99%A5,,OVA
300,8110,Fukubiki_Triangle__Miharu_After,,OVA
301,5114,Fullmetal_Alchemist__Brotherhood,,TV
302,25055,Furifure_The_Animation,,OVA
