,MAL_id,Title,Score,Type
0,68,Black_Cat,8.0,TV
1,1818,Claymore,9.0,TV
2,61,DNAngel,9.0,TV
3,356,Fate_stay_night,10.0,TV
4,74,Gakuen_Alice,9.0,TV
5,521,Mermaid_Melody_Pichi_Pichi_Pitch,9.0,TV
6,94,Kidou_Senshi_Gundam_SEED_Destiny,8.0,TV
7,20,Naruto,8.0,TV
8,161,Peace_Maker_Kurogane,9.0,TV
9,195,Onegai%E2%98%86Teacher,9.0,TV
10,22,Tennis_no_Oujisama,10.0,TV
11,177,Tsubasa_Chronicle,9.0,TV
12,178,Ultra_Maniac,8.0,TV
13,2404,Zombie-Loan,9.0,TV
14,269,Bleach,8.0,TV
15,1535,Death_Note,9.0,TV
16,104,Ayashi_no_Ceres,,TV
17,1575,Code_Geass__Hangyaku_no_Lelouch,,TV
18,853,Ouran_Koukou_Host_Club,,TV
19,196,Onegai%E2%98%86Twins,,TV
20,3354,Zombie-Loan_Specials,,Special
