,MAL_id,Title,Score,Type
0,21,One_Piece,,TV
1,16498,Shingeki_no_Kyojin,,TV
2,232,Cardcaptor_Sakura,10.0,TV
3,372,Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card,9.0,Movie
4,6880,Deadman_Wonderland,8.0,TV
5,1535,Death_Note,,TV
6,393,Escaflowne,,Movie
7,6702,Fairy_Tail,,TV
8,20583,Haikyuu,,TV
9,11771,Kuroko_no_Basket,9.0,TV
10,16894,Kuroko_no_Basket_2nd_Season,,TV
11,14227,Tonari_no_Kaibutsu-kun,,TV
12,877,Nana,10.0,TV
13,14921,RDG__Red_Data_Girl,,TV
14,5671,Saki,,TV
15,4722,Skip_Beat,8.0,TV
16,178,Ultra_Maniac,,TV
17,1222,Bokura_ga_Ita,,TV
18,371,Cardcaptor_Sakura_Movie_1,,Movie
19,22043,Fairy_Tail_2014,,TV
20,179,Ultra_Maniac_OVA,,OVA
