,MAL_id,Title,Score,Type
0,38753,Araburu_Kisetsu_no_Otome-domo_yo,8.0,TV
1,35790,Tate_no_Yuusha_no_Nariagari,7.0,TV
2,35839,Sora_yori_mo_Tooi_Basho,10.0,TV
3,10800,Chihayafuru,10.0,TV
4,14397,Chihayafuru_2,10.0,TV
5,31043,Boku_dake_ga_Inai_Machi,8.0,TV
6,28907,Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,8.0,TV
7,31637,Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2,8.0,TV
8,17895,Golden_Time,7.0,TV
9,11887,Kokoro_Connect,8.0,TV
10,32245,Kuromukuro,8.0,TV
11,33489,Little_Witch_Academia_TV,7.0,TV
12,36563,Megalo_Box,7.0,TV
13,33206,Kobayashi-san_Chi_no_Maid_Dragon,8.0,TV
14,32829,Nobunaga_no_Shinobi,7.0,TV
15,34978,Nobunaga_no_Shinobi__Ise_Kanegasaki-hen,7.0,TV
16,37126,Nobunaga_no_Shinobi__Anegawa_Ishiyama-hen,8.0,TV
17,37965,Kaze_ga_Tsuyoku_Fuiteiru,8.0,TV
18,34494,Sakura_Quest,7.0,TV
19,2966,Ookami_to_Koushinryou,9.0,TV
20,5341,Ookami_to_Koushinryou_II,9.0,TV
21,30484,Steins_Gate_0,7.0,TV
22,11757,Sword_Art_Online,8.0,TV
23,36475,Sword_Art_Online_Alternative__Gun_Gale_Online,7.0,TV
24,21881,Sword_Art_Online_II,9.0,TV
25,31765,Sword_Art_Online_Movie__Ordinal_Scale,5.0,Movie
26,13333,Tari_Tari,10.0,TV
27,849,Suzumiya_Haruhi_no_Yuuutsu,10.0,TV
28,4382,Suzumiya_Haruhi_no_Yuuutsu_2009,10.0,TV
29,35249,Uma_Musume__Pretty_Derby,7.0,TV
30,34636,Ballroom_e_Youkoso,8.0,TV
31,1210,NHK_ni_Youkoso,10.0,TV
32,23273,Shigatsu_wa_Kimi_no_Uso,10.0,TV
33,37349,Goblin_Slayer,7.0,TV
34,36028,Golden_Kamuy,7.0,TV
35,36296,Hinamatsuri,,TV
36,18095,Nourin,7.0,TV
37,36474,Sword_Art_Online__Alicization,7.0,TV
38,21647,Tamako_Love_Story,,Movie
39,38101,5-toubun_no_Hanayome,,TV
40,35968,Wotaku_ni_Koi_wa_Muzukashii,,TV
41,37435,Carole___Tuesday,,TV
42,37379,Chihayafuru_3,,TV
43,16001,Kokoro_Connect__Michi_Random,,Special
44,38080,Kono_Oto_Tomare,,TV
45,38787,Senryuu_Shoujo,,TV
46,40356,Tate_no_Yuusha_no_Nariagari_Season_2,,TV
