,MAL_id,Title,Score,Type
0,38481,Toaru_Kagaku_no_Railgun_T,8.0,TV
1,39468,Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen,,TV
2,47917,Bocchi_the_Rock,,TV
3,2167,Clannad,7.0,TV
4,51096,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,,TV
5,57334,Dandadan,7.0,TV
6,37982,Domestic_na_Kanojo,8.0,TV
7,31043,Boku_dake_ga_Inai_Machi,,TV
8,40417,Fruits_Basket_2nd_Season,7.0,TV
9,2001,Tengen_Toppa_Gurren_Lagann,,TV
10,50854,Benriya_Saitou-san_Isekai_ni_Iku,,TV
11,39570,High_Score_Girl_II,8.0,TV
12,7791,K-On,7.0,TV
13,49458,Kono_Subarashii_Sekai_ni_Shukufuku_wo_3,9.0,TV
14,14741,Chuunibyou_demo_Koi_ga_Shitai,7.0,TV
15,41084,Made_in_Abyss__Retsujitsu_no_Ougonkyou,,TV
16,17074,Monogatari_Series__Second_Season,7.0,TV
17,19815,No_Game_No_Life,8.0,TV
18,21,One_Piece,10.0,TV
19,54857,Re_Zero_kara_Hajimeru_Isekai_Seikatsu_3rd_Season,9.0,TV
20,37984,Kumo_desu_ga_Nani_ka,7.0,TV
21,2966,Ookami_to_Koushinryou,7.0,TV
22,51252,Spy_Kyoushitsu,,TV
23,9253,Steins_Gate,10.0,TV
24,54492,Kusuriya_no_Hitorigoto,,TV
25,48842,Mahoutsukai_Reimeiki,,TV
26,48413,Hataraku_Maou-sama,,TV
27,48316,Kage_no_Jitsuryokusha_ni_Naritakute,,TV
28,52635,Kami_no_Tou__Ouji_no_Kikan,7.0,TV
29,49220,Isekai_Ojisan,,TV
30,4654,Toaru_Majutsu_no_Index,8.0,TV
31,8937,Toaru_Majutsu_no_Index_II,7.0,TV
32,36432,Toaru_Majutsu_no_Index_III,5.0,TV
33,6213,Toaru_Kagaku_no_Railgun,9.0,TV
34,16049,Toaru_Kagaku_no_Railgun_S,8.0,TV
35,28851,Koe_no_Katachi,10.0,Movie
36,18689,Diamond_no_Ace,8.0,TV
37,38731,Diamond_no_Ace__Act_II,8.0,TV
38,8676,Amagami_SS,5.0,TV
39,6547,Angel_Beats,7.0,TV
40,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,7.0,TV
41,11111,Another,8.0,TV
42,37171,Asobi_Asobase,7.0,TV
43,16498,Shingeki_no_Kyojin,9.0,TV
44,25777,Shingeki_no_Kyojin_Season_2,8.0,TV
45,35760,Shingeki_no_Kyojin_Season_3,9.0,TV
46,38524,Shingeki_no_Kyojin_Season_3_Part_2,10.0,TV
47,5081,Bakemonogatari,8.0,TV
48,32379,Berserk,4.0,TV
49,4898,Kuroshitsuji,7.0,TV
50,4835,Bleach_Movie_3__Fade_to_Black_-_Kimi_no_Na_wo_Yobu,6.0,Movie
51,1686,Bleach_Movie_1__Memories_of_Nobody,6.0,Movie
52,2889,Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,5.0,Movie
53,21995,Ao_Haru_Ride,6.0,TV
54,38790,Itai_no_wa_Iya_nanode_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu,7.0,TV
55,232,Cardcaptor_Sakura,7.0,TV
56,37435,Carole___Tuesday,7.0,TV
57,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,9.0,TV
58,1818,Claymore,8.0,TV
59,35849,Darling_in_the_FranXX,8.0,TV
60,38656,Darwins_Game,5.0,TV
61,38000,Kimetsu_no_Yaiba,8.0,TV
62,2471,Doraemon_1979,9.0,TV
63,223,Dragon_Ball,9.0,TV
64,813,Dragon_Ball_Z,10.0,TV
65,10851,Euphoria,5.0,OVA
66,6702,Fairy_Tail,7.0,TV
67,22043,Fairy_Tail_2014,6.0,TV
68,263,Hajime_no_Ippo,9.0,TV
69,5258,Hajime_no_Ippo__New_Challenger,9.0,TV
70,19647,Hajime_no_Ippo__Rising,9.0,TV
71,16201,Aku_no_Hana,6.0,TV
72,28171,Shokugeki_no_Souma,9.0,TV
73,32282,Shokugeki_no_Souma__Ni_no_Sara,7.0,TV
74,35788,Shokugeki_no_Souma__San_no_Sara,7.0,TV
75,36949,Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,7.0,TV
76,52991,Sousou_no_Frieren,10.0,TV
77,10029,Coquelicot-zaka_kara,7.0,Movie
78,38680,Fruits_Basket_1st_Season,8.0,TV
79,121,Fullmetal_Alchemist,8.0,TV
80,33731,Gabriel_DropOut,7.0,TV
81,34280,Gamers,7.0,TV
82,37349,Goblin_Slayer,5.0,TV
83,17895,Golden_Time,9.0,TV
84,37105,Grand_Blue,9.0,TV
85,245,Great_Teacher_Onizuka,8.0,TV
86,34176,Zero_kara_Hajimeru_Mahou_no_Sho,7.0,TV
87,32542,Sakamoto_desu_ga,5.0,TV
88,21877,High_Score_Girl,9.0,TV
89,8074,Highschool_of_the_Dead,7.0,TV
90,36296,Hinamatsuri,9.0,TV
91,42897,Horimiya,8.0,TV
92,431,Howl_no_Ugoku_Shiro,8.0,Movie
93,136,Hunter_x_Hunter,10.0,TV
94,11061,Hunter_x_Hunter_2011,10.0,TV
95,36098,Kimi_no_Suizou_wo_Tabetai,10.0,Movie
96,15059,Initial_D_Fifth_Stage,9.0,TV
97,22507,Initial_D_Final_Stage,9.0,TV
98,185,Initial_D_First_Stage,9.0,TV
99,18,Initial_D_Fourth_Stage,8.0,TV
100,186,Initial_D_Second_Stage,9.0,TV
101,187,Initial_D_Third_Stage,8.0,Movie
102,33988,Demi-chan_wa_Kataritai,8.0,TV
103,38472,Isekai_Quartet,8.0,TV
104,39988,Isekai_Quartet_2,7.0,TV
105,35639,Just_Because,8.0,TV
106,5680,K-On,7.0,TV
107,37999,Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,10.0,TV
108,43608,Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,10.0,TV
109,43609,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen_OVA,8.0,OVA
110,40591,Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,10.0,TV
111,34933,Kakegurui,6.0,TV
112,512,Majo_no_Takkyuubin,9.0,Movie
113,6045,Kimi_ni_Todoke,8.0,TV
114,9260,Kizumonogatari_I__Tekketsu-hen,6.0,Movie
115,31757,Kizumonogatari_II__Nekketsu-hen,7.0,Movie
116,31758,Kizumonogatari_III__Reiketsu-hen,8.0,Movie
117,30831,Kono_Subarashii_Sekai_ni_Shukufuku_wo,9.0,TV
118,38040,Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,9.0,Movie
119,32937,Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,10.0,TV
120,34626,Kono_Subarashii_Sekai_ni_Shukufuku_wo_2__Kono_Subarashii_Geijutsu_ni_Shukufuku_wo,9.0,OVA
121,11771,Kuroko_no_Basket,8.0,TV
122,16894,Kuroko_no_Basket_2nd_Season,7.0,TV
123,17265,Log_Horizon,8.0,TV
124,23321,Log_Horizon_2nd_Season,8.0,TV
125,189,Love_Hina,8.0,TV
126,34599,Made_in_Abyss,9.0,TV
127,33487,Masamune-kun_no_Revenge,6.0,TV
128,5485,Shin_Mazinger_Shougeki_Z-hen,5.0,TV
129,33206,Kobayashi-san_Chi_no_Maid_Dragon,8.0,TV
130,32182,Mob_Psycho_100,8.0,TV
131,37510,Mob_Psycho_100_II,10.0,TV
132,96,Kidou_Butouden_G_Gundam,6.0,TV
133,19,Monster,10.0,TV
134,31964,Boku_no_Hero_Academia,6.0,TV
135,33486,Boku_no_Hero_Academia_2nd_Season,7.0,TV
136,523,Tonari_no_Totoro,9.0,Movie
137,14813,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,10.0,TV
138,39547,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,10.0,TV
139,46431,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan__Dakara_Shishunki_wa_Owarazu_ni_Seishun_wa_Tsuzuiteiku,8.0,OVA
140,18753,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_OVA,10.0,OVA
141,23847,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku,10.0,TV
142,33161,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku_OVA,10.0,OVA
143,123,Fushigi_Yuugi,5.0,TV
144,20,Naruto,10.0,TV
145,15689,Nekomonogatari__Kuro,8.0,TV Special
146,30,Shinseiki_Evangelion,8.0,TV
147,32,Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,6.0,Movie
148,18897,Nisekoi,7.0,TV
149,27787,Nisekoi_,6.0,TV
150,11597,Nisemonogatari,10.0,TV
151,38814,Nobunaga-sensei_no_Osanazuma,4.0,TV
152,5040,One_Outs,9.0,TV
153,31490,One_Piece_Film__Gold,8.0,Movie
154,4155,One_Piece_Film__Strong_World,9.0,Movie
155,12859,One_Piece_Film__Z,9.0,Movie
156,38234,One_Piece_Movie_14__Stampede,9.0,Movie
157,30276,One_Punch_Man,10.0,TV
158,34134,One_Punch_Man_2nd_Season,9.0,TV
159,29803,Overlord,7.0,TV
160,35073,Overlord_II,7.0,TV
161,37675,Overlord_III,5.0,TV
162,48895,Overlord_IV,8.0,TV
163,22535,Kiseijuu__Sei_no_Kakuritsu,8.0,TV
164,528,Pokemon_Movie_01__Mewtwo_no_Gyakushuu,8.0,Movie
165,164,Mononoke_Hime,10.0,Movie
166,30240,Prison_School,9.0,TV
167,1492,Project_ARMS,3.0,TV
168,210,Ranma_%C2%BD,7.0,TV
169,37450,Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,8.0,TV
170,31240,Re_Zero_kara_Hajimeru_Isekai_Seikatsu,9.0,TV
171,39587,Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,8.0,TV
172,42203,Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,9.0,TV
173,30015,ReLIFE,8.0,TV
