,MAL_id,Title,Score,Type
0,25777,Shingeki_no_Kyojin_Season_2,9.0,TV
1,35760,Shingeki_no_Kyojin_Season_3,8.0,TV
2,36516,Beatless,6.0,TV
3,21995,Ao_Haru_Ride,,TV
4,37451,Boogiepop_wa_Warawanai_2019,,TV
5,34566,Boruto__Naruto_Next_Generations,7.0,TV
6,28999,Charlotte,7.0,TV
7,34382,Citrus,,TV
8,51096,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,,TV
9,32370,DGray-man_Hallow,,TV
10,15583,Date_A_Live,,TV
11,36633,Date_A_Live_III,9.0,TV
12,34497,Death_March_kara_Hajimaru_Isekai_Kyousoukyoku,7.0,TV
13,37520,Dororo,9.0,TV
14,32901,Eromanga-sensei,7.0,TV
15,39063,Fairy_Gone,,TV
16,34321,Fate_Grand_Order__First_Order,,TV Special
17,36949,Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,,TV
18,38680,Fruits_Basket_1st_Season,,TV
19,34281,High_School_DxD_Hero,8.0,TV
20,33948,Hinako_Note,,TV
21,37210,Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu,,TV
22,12189,Hyouka,8.0,TV
23,37497,Irozuku_Sekai_no_Ashita_kara,8.0,TV
24,31933,JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,,TV
25,37999,Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,8.0,TV
26,34104,Knights___Magic,9.0,TV
27,34934,Koi_to_Uso,,TV
28,38935,Miru_Tights,7.0,ONA
29,39547,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,,TV
30,18897,Nisekoi,8.0,TV
31,34134,One_Punch_Man_2nd_Season,9.0,TV
32,14749,Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_Sugiru,,TV
33,35073,Overlord_II,9.0,TV
34,48895,Overlord_IV,,TV
35,27775,Plastic_Memories,,TV
36,21339,Psycho-Pass_Movie,,Movie
37,36286,Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Memory_Snow,,Movie
38,39587,Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,10.0,TV
39,38414,Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Hyouketsu_no_Kizuna,,Movie
40,23277,Saenai_Heroine_no_Sodatekata,,TV
41,30727,Saenai_Heroine_no_Sodatekata_%E2%99%AD,,TV
42,32949,Kuzu_no_Honkai,,TV
43,154,Shaman_King,8.0,TV
44,9253,Steins_Gate,,TV
45,33286,Strike_the_Blood_II,,OVA
46,8675,Seitokai_Yakuindomo,,TV
47,36474,Sword_Art_Online__Alicization,8.0,TV
48,39597,Sword_Art_Online__Alicization_-_War_of_Underworld,,TV
49,41487,Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,,TV
50,15809,Hataraku_Maou-sama,8.0,TV
51,34577,Nanatsu_no_Taizai__Imashime_no_Fukkatsu,8.0,TV
52,40221,Kami_no_Tou,,TV
53,17247,Machine-Doll_wa_Kizutsukanai,8.0,TV
54,33352,Violet_Evergarden,9.0,TV
55,37993,Watashi_ni_Tenshi_ga_Maiorita,,TV
56,38826,Tenki_no_Ko,,Movie
57,38397,Nande_Koko_ni_Sensei_ga,,TV
58,36407,Kenja_no_Mago,7.0,TV
59,28851,Koe_no_Katachi,9.0,Movie
60,22199,Akame_ga_Kill,9.0,TV
61,32951,Rokudenashi_Majutsu_Koushi_to_Akashic_Records,8.0,TV
62,31764,Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin,8.0,TV
