,Title,Link
0,Chobits,https://myanimelist.net/anime/59/Chobits
1,Azumanga Daiou The Animation,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation
2,.hack//Sign,https://myanimelist.net/anime/48/hack__Sign
3,Digimon Frontier,https://myanimelist.net/anime/1132/Digimon_Frontier
4,Tokyo Mew Mew,https://myanimelist.net/anime/687/Tokyo_Mew_Mew
5,Juuni Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki
6,Ai Yori Aoshi,https://myanimelist.net/anime/53/Ai_Yori_Aoshi
7,Full Moon wo Sagashite,https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite
8,Abenobashi Mahou☆Shoutengai,https://myanimelist.net/anime/306/Abenobashi_Mahou☆Shoutengai
9,Rockman.EXE,https://myanimelist.net/anime/1710/RockmanEXE
10,Ou Dorobou Jing,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
11,Tenchi Muyou! GXP,https://myanimelist.net/anime/1133/Tenchi_Muyou_GXP
12,Tokyo Underground,https://myanimelist.net/anime/175/Tokyo_Underground
13,Happy☆Lesson (TV),https://myanimelist.net/anime/260/Happy☆Lesson_TV
14,Tenshi na Konamaiki,https://myanimelist.net/anime/200/Tenshi_na_Konamaiki
15,Rizelmine,https://myanimelist.net/anime/197/Rizelmine
16,Pita Ten,https://myanimelist.net/anime/162/Pita_Ten
17,Wagamama☆Fairy Mirumo de Pon!,https://myanimelist.net/anime/1744/Wagamama☆Fairy_Mirumo_de_Pon
18,Whistle!,https://myanimelist.net/anime/183/Whistle
19,Psychic Academy,https://myanimelist.net/anime/337/Psychic_Academy
20,Gun Frontier,https://myanimelist.net/anime/1706/Gun_Frontier
21,Atashin'chi,https://myanimelist.net/anime/3006/Atashinchi
22,Bakutou Sengen Daigunder,https://myanimelist.net/anime/3271/Bakutou_Sengen_Daigunder
23,Wild 7 Another Bouryaku Unga,https://myanimelist.net/anime/1745/Wild_7_Another_Bouryaku_Unga
24,Baby Baachan,https://myanimelist.net/anime/2732/Baby_Baachan
25,Denkou Chou Tokkyuu Hikarian,https://myanimelist.net/anime/8956/Denkou_Chou_Tokkyuu_Hikarian
26,"Letchu, Getchu, Saru Getchu",https://myanimelist.net/anime/31054/Letchu_Getchu_Saru_Getchu
27,Forza! Hidemaru,https://myanimelist.net/anime/18005/Forza_Hidemaru
28,One Piece,https://myanimelist.net/anime/21/One_Piece
29,InuYasha,https://myanimelist.net/anime/249/InuYasha
30,Pokemon,https://myanimelist.net/anime/527/Pokemon
31,Full Metal Panic!,https://myanimelist.net/anime/71/Full_Metal_Panic
32,Yu☆Gi☆Oh! Duel Monsters,https://myanimelist.net/anime/481/Yu☆Gi☆Oh_Duel_Monsters
33,Shaman King,https://myanimelist.net/anime/154/Shaman_King
34,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan
35,Tennis no Oujisama,https://myanimelist.net/anime/22/Tennis_no_Oujisama
36,Hikaru no Go,https://myanimelist.net/anime/135/Hikaru_no_Go
37,RahXephon,https://myanimelist.net/anime/165/RahXephon
38,Groove Adventure Rave,https://myanimelist.net/anime/246/Groove_Adventure_Rave
39,The Big O,https://myanimelist.net/anime/567/The_Big_O
40,Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan
41,Bakuten Shoot Beyblade 2002,https://myanimelist.net/anime/1669/Bakuten_Shoot_Beyblade_2002
42,Doraemon (1979),https://myanimelist.net/anime/2471/Doraemon_1979
43,Tottoko Hamtarou,https://myanimelist.net/anime/508/Tottoko_Hamtarou
44,Captain Tsubasa: Road to 2002,https://myanimelist.net/anime/1614/Captain_Tsubasa__Road_to_2002
45,Cyborg 009: The Cyborg Soldier,https://myanimelist.net/anime/1678/Cyborg_009__The_Cyborg_Soldier
46,Hoshi no Kirby,https://myanimelist.net/anime/2390/Hoshi_no_Kirby
47,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,https://myanimelist.net/anime/3545/Kochira_Katsushikaku_Kameari_Kouenmae_Hashutsujo
48,Kinnikuman II Sei,https://myanimelist.net/anime/1707/Kinnikuman_II_Sei
49,Ojamajo Doremi Dokkaan!,https://myanimelist.net/anime/353/Ojamajo_Doremi_Dokkaan
50,Figure 17: Tsubasa & Hikaru,https://myanimelist.net/anime/1126/Figure_17__Tsubasa___Hikaru
51,Shin Chou Kyou Ryo: Condor Hero,https://myanimelist.net/anime/959/Shin_Chou_Kyou_Ryo__Condor_Hero
52,Patapata Hikousen no Bouken,https://myanimelist.net/anime/708/Patapata_Hikousen_no_Bouken
53,Sazae-san,https://myanimelist.net/anime/2406/Sazae-san
54,Shichinin no Nana,https://myanimelist.net/anime/623/Shichinin_no_Nana
55,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou
56,Gekitou! Crush Gear Turbo,https://myanimelist.net/anime/3012/Gekitou_Crush_Gear_Turbo
57,Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
58,Panyo Panyo Di Gi Charat,https://myanimelist.net/anime/1597/Panyo_Panyo_Di_Gi_Charat
59,Kakutou Ryouri Densetsu Bistro Recipe,https://myanimelist.net/anime/2287/Kakutou_Ryouri_Densetsu_Bistro_Recipe
60,Saiko Robot Kombock,https://myanimelist.net/anime/3772/Saiko_Robot_Kombock
61,Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
62,Shiawase Sou no Okojo-san,https://myanimelist.net/anime/2934/Shiawase_Sou_no_Okojo-san
63,Domo-kun,https://myanimelist.net/anime/7643/Domo-kun
64,Genma Taisen: Shinwa Zenya no Shou,https://myanimelist.net/anime/1705/Genma_Taisen__Shinwa_Zenya_no_Shou
65,Ojarumaru,https://myanimelist.net/anime/4459/Ojarumaru
66,Track City,https://myanimelist.net/anime/12361/Track_City
67,Nono-chan,https://myanimelist.net/anime/6625/Nono-chan
68,Shima Shima Tora no Shimajirou,https://myanimelist.net/anime/9768/Shima_Shima_Tora_no_Shimajirou
69,Oyako Club,https://myanimelist.net/anime/12393/Oyako_Club
70,Kick Off 2002,https://myanimelist.net/anime/7525/Kick_Off_2002
71,Stray Sheep: Poe no Chicchana Daibouken,https://myanimelist.net/anime/10989/Stray_Sheep__Poe_no_Chicchana_Daibouken
72,Dango San Kyoudai Attoiuma Gekijou,https://myanimelist.net/anime/23799/Dango_San_Kyoudai_Attoiuma_Gekijou
73,Happy Fuzi,https://myanimelist.net/anime/45344/Happy_Fuzi
74,Geomjeong Gomusin,https://myanimelist.net/anime/48134/Geomjeong_Gomusin
75,Haerowa Toremi,https://myanimelist.net/anime/48215/Haerowa_Toremi
76,Mujigae Yojeong Tongtong,https://myanimelist.net/anime/48206/Mujigae_Yojeong_Tongtong
77,Gaia Getter A-kun,https://myanimelist.net/anime/24355/Gaia_Getter_A-kun
78,Gerotan,https://myanimelist.net/anime/35577/Gerotan
79,Hunter x Hunter: Original Video Animation,https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation
80,Kanojo to Kanojo no Neko,https://myanimelist.net/anime/1004/Kanojo_to_Kanojo_no_Neko
81,Initial D Battle Stage,https://myanimelist.net/anime/821/Initial_D_Battle_Stage
82,Sweat Punch,https://myanimelist.net/anime/1072/Sweat_Punch
83,.hack//Liminality,https://myanimelist.net/anime/299/hack__Liminality
84,Bible Black Gaiden,https://myanimelist.net/anime/972/Bible_Black_Gaiden
85,Fushigi Yuugi: Eikouden,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden
86,Cosplay Complex,https://myanimelist.net/anime/982/Cosplay_Complex
87,Gate Keepers 21,https://myanimelist.net/anime/128/Gate_Keepers_21
88,Little Monica Monogatari,https://myanimelist.net/anime/1785/Little_Monica_Monogatari
89,Lupin III: Ikiteita Majutsushi,https://myanimelist.net/anime/1427/Lupin_III__Ikiteita_Majutsushi
90,Kojin Taxi,https://myanimelist.net/anime/2357/Kojin_Taxi
91,Inbaku Gakuen,https://myanimelist.net/anime/2943/Inbaku_Gakuen
92,Megami Kouhosei Special Curriculum,https://myanimelist.net/anime/887/Megami_Kouhosei_Special_Curriculum
93,Ai wa Kagi no Kazu dake... Fuuzoku Mansion,https://myanimelist.net/anime/1895/Ai_wa_Kagi_no_Kazu_dake_Fuuzoku_Mansion
94,Kurohime: Shikkoku no Yakata,https://myanimelist.net/anime/1385/Kurohime__Shikkoku_no_Yakata
95,Dorei Ichiba,https://myanimelist.net/anime/3385/Dorei_Ichiba
96,The Urotsuki,https://myanimelist.net/anime/1353/The_Urotsuki
97,Gakuen: Chijoku no Zushiki,https://myanimelist.net/anime/1511/Gakuen__Chijoku_no_Zushiki
98,Galerians: Rion,https://myanimelist.net/anime/1611/Galerians__Rion
99,Gekka Bijin,https://myanimelist.net/anime/2430/Gekka_Bijin
100,Shuukaku no Yoru,https://myanimelist.net/anime/3911/Shuukaku_no_Yoru
101,Galaxy Angel Music Collection: Shouen to Shien no Cassoulet,https://myanimelist.net/anime/2206/Galaxy_Angel_Music_Collection__Shouen_to_Shien_no_Cassoulet
102,Yoru ga Kuru!,https://myanimelist.net/anime/1702/Yoru_ga_Kuru
103,Shinseiki Inma Seiden,https://myanimelist.net/anime/2189/Shinseiki_Inma_Seiden
104,Momiji (OVA),https://myanimelist.net/anime/3303/Momiji_OVA
105,Unbalance,https://myanimelist.net/anime/1770/Unbalance
106,Joou-sama wa M Dorei,https://myanimelist.net/anime/3066/Joou-sama_wa_M_Dorei
107,Kamyla,https://myanimelist.net/anime/3921/Kamyla
108,Nakoruru: Ano Hito kara no Okurimono,https://myanimelist.net/anime/1937/Nakoruru__Ano_Hito_kara_no_Okurimono
109,Flutter of Birds: Tori-tachi no Habataki,https://myanimelist.net/anime/1404/Flutter_of_Birds__Tori-tachi_no_Habataki
110,Tsuki Kagerou,https://myanimelist.net/anime/4606/Tsuki_Kagerou
111,Gakuen Maria: Bakunyuu Teachers,https://myanimelist.net/anime/6622/Gakuen_Maria__Bakunyuu_Teachers
112,Generation of Chaos Next: Chikai no Pendant,https://myanimelist.net/anime/2777/Generation_of_Chaos_Next__Chikai_no_Pendant
113,Tsubaki-iro no Prigione,https://myanimelist.net/anime/2190/Tsubaki-iro_no_Prigione
114,Deep Voice,https://myanimelist.net/anime/5646/Deep_Voice
115,Kussetsu,https://myanimelist.net/anime/2794/Kussetsu
116,Rasen Kairou,https://myanimelist.net/anime/5610/Rasen_Kairou
117,Mahou no Star Magical Emi: Kumo Hikaru,https://myanimelist.net/anime/8431/Mahou_no_Star_Magical_Emi__Kumo_Hikaru
118,You Bishoujo Miruku-chan,https://myanimelist.net/anime/5572/You_Bishoujo_Miruku-chan
119,Meitantei Conan: Kodai Kyouryuu no Nazo ni Semare!,https://myanimelist.net/anime/33151/Meitantei_Conan__Kodai_Kyouryuu_no_Nazo_ni_Semare
120,Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,https://myanimelist.net/anime/4497/Kijutsushi_x_Majutsushi__Osaka_Tanteibu_no_Jikenbo
121,Love Machine: Animaid Shoufu 23-gou,https://myanimelist.net/anime/5607/Love_Machine__Animaid_Shoufu_23-gou
122,Jisshuusei,https://myanimelist.net/anime/12551/Jisshuusei
123,Happy Day,https://myanimelist.net/anime/9304/Happy_Day
124,Kikou Heidan J-Phoenix: PF Lips Shoutai,https://myanimelist.net/anime/8883/Kikou_Heidan_J-Phoenix__PF_Lips_Shoutai
125,Erotic Blade Runner,https://myanimelist.net/anime/60277/Erotic_Blade_Runner
126,Meitantei Conan Movie 06: Baker Street no Bourei,https://myanimelist.net/anime/1365/Meitantei_Conan_Movie_06__Baker_Street_no_Bourei
127,Armitage III: Dual-Matrix,https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix
128,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,https://myanimelist.net/anime/3744/Crayon_Shin-chan_Movie_10__Arashi_wo_Yobu_Appare_Sengoku_Daikassen
129,eX-Driver the Movie,https://myanimelist.net/anime/378/eX-Driver_the_Movie
130,eX-Driver: Nina & Rei Danger Zone,https://myanimelist.net/anime/1733/eX-Driver__Nina___Rei_Danger_Zone
131,Guilstein,https://myanimelist.net/anime/11995/Guilstein
132,Ginga Tetsudou 999 for Planetarium,https://myanimelist.net/anime/30481/Ginga_Tetsudou_999_for_Planetarium
