,Title,Link
0,Durarara!!,https://myanimelist.net/anime/6746/Durarara
1,Baka to Test to Shoukanjuu,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu
2,Katanagatari,https://myanimelist.net/anime/6594/Katanagatari
3,Seikon no Qwaser,https://myanimelist.net/anime/6500/Seikon_no_Qwaser
4,Omamori Himari,https://myanimelist.net/anime/6324/Omamori_Himari
5,Dance in the Vampire Bund,https://myanimelist.net/anime/6747/Dance_in_the_Vampire_Bund
6,Ladies versus Butlers!,https://myanimelist.net/anime/7148/Ladies_versus_Butlers
7,So Ra No Wo To,https://myanimelist.net/anime/6802/So_Ra_No_Wo_To
8,Nodame Cantabile Finale,https://myanimelist.net/anime/5690/Nodame_Cantabile_Finale
9,Hanamaru Youchien,https://myanimelist.net/anime/6574/Hanamaru_Youchien
10,Ookamikakushi,https://myanimelist.net/anime/7079/Ookamikakushi
11,Chuu Bra!!,https://myanimelist.net/anime/6645/Chuu_Bra
12,Heartcatch Precure!,https://myanimelist.net/anime/7645/Heartcatch_Precure
13,Hidamari Sketch x ☆☆☆,https://myanimelist.net/anime/7062/Hidamari_Sketch_x_☆☆☆
14,Weiß Survive R,https://myanimelist.net/anime/7463/Weiß_Survive_R
15,Cobra The Animation,https://myanimelist.net/anime/5032/Cobra_The_Animation
16,Kaitou Reinya,https://myanimelist.net/anime/7561/Kaitou_Reinya
17,Masuda Kousuke Gekijou: Gag Manga Biyori +,https://myanimelist.net/anime/7761/Masuda_Kousuke_Gekijou__Gag_Manga_Biyori__
18,Chi-Sui Maru,https://myanimelist.net/anime/8025/Chi-Sui_Maru
19,Taikong Lixianji,https://myanimelist.net/anime/35138/Taikong_Lixianji
20,Rose O'Neill Kewpie,https://myanimelist.net/anime/7211/Rose_ONeill_Kewpie
21,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,https://myanimelist.net/anime/33085/Unko-san__Tsuiteru_Hito_ni_Shika_Mienai_Yousei_Junjou_Ha
22,Keshikasu-kun,https://myanimelist.net/anime/8244/Keshikasu-kun
23,Kabushiki Kaisha Zoo,https://myanimelist.net/anime/29748/Kabushiki_Kaisha_Zoo
24,Hello Cocomong,https://myanimelist.net/anime/37942/Hello_Cocomong
25,Ninja Tamamaru: Toukaidou Gojuusan-ji,https://myanimelist.net/anime/35108/Ninja_Tamamaru__Toukaidou_Gojuusan-ji
26,Maiquan Keke Yuangu Da Maoxian,https://myanimelist.net/anime/45453/Maiquan_Keke_Yuangu_Da_Maoxian
27,Tai Hao Fuxi,https://myanimelist.net/anime/47083/Tai_Hao_Fuxi
28,Net Miracle Shopping 2nd Season,https://myanimelist.net/anime/59359/Net_Miracle_Shopping_2nd_Season
29,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
30,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden
31,One Piece,https://myanimelist.net/anime/21/One_Piece
32,Bleach,https://myanimelist.net/anime/269/Bleach
33,Fairy Tail,https://myanimelist.net/anime/6702/Fairy_Tail
34,Bakemonogatari,https://myanimelist.net/anime/5081/Bakemonogatari
35,Gintama,https://myanimelist.net/anime/918/Gintama
36,Kimi ni Todoke,https://myanimelist.net/anime/6045/Kimi_ni_Todoke
37,Toaru Kagaku no Railgun,https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun
38,Katekyou Hitman Reborn!,https://myanimelist.net/anime/1604/Katekyou_Hitman_Reborn
39,Dragon Ball Kai,https://myanimelist.net/anime/6033/Dragon_Ball_Kai
40,Meitantei Conan,https://myanimelist.net/anime/235/Meitantei_Conan
41,InuYasha: Kanketsu-hen,https://myanimelist.net/anime/6811/InuYasha__Kanketsu-hen
42,Inazuma Eleven,https://myanimelist.net/anime/5231/Inazuma_Eleven
43,Kobato.,https://myanimelist.net/anime/5678/Kobato
44,Pokemon Diamond & Pearl,https://myanimelist.net/anime/1565/Pokemon_Diamond___Pearl
45,Yu☆Gi☆Oh! 5D's,https://myanimelist.net/anime/3972/Yu☆Gi☆Oh_5Ds
46,Cross Game,https://myanimelist.net/anime/5941/Cross_Game
47,Tegamibachi,https://myanimelist.net/anime/6444/Tegamibachi
48,Metal Fight Beyblade,https://myanimelist.net/anime/5962/Metal_Fight_Beyblade
49,Crayon Shin-chan,https://myanimelist.net/anime/966/Crayon_Shin-chan
50,Yume-iro Pâtissière,https://myanimelist.net/anime/6586/Yume-iro_Pâtissière
51,Keroro Gunsou,https://myanimelist.net/anime/516/Keroro_Gunsou
52,Shugo Chara! Party!,https://myanimelist.net/anime/7082/Shugo_Chara_Party
53,Hanasakeru Seishounen,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen
54,Tatakau Shisho: The Book of Bantorra,https://myanimelist.net/anime/6758/Tatakau_Shisho__The_Book_of_Bantorra
55,Fuyu no Sonata,https://myanimelist.net/anime/4189/Fuyu_no_Sonata
56,Doraemon (2005),https://myanimelist.net/anime/8687/Doraemon_2005
57,Kiddy GiRL-AND,https://myanimelist.net/anime/3349/Kiddy_GiRL-AND
58,Kaidan Restaurant,https://myanimelist.net/anime/6980/Kaidan_Restaurant
59,Jewelpet,https://myanimelist.net/anime/6008/Jewelpet
60,Element Hunters,https://myanimelist.net/anime/5945/Element_Hunters
61,Anyamal Tantei Kiruminzoo,https://myanimelist.net/anime/7152/Anyamal_Tantei_Kiruminzoo
62,Gokujou!! Mecha Mote Iinchou,https://myanimelist.net/anime/6117/Gokujou_Mecha_Mote_Iinchou
63,Sazae-san,https://myanimelist.net/anime/2406/Sazae-san
64,Tentai Senshi Sunred 2nd Season,https://myanimelist.net/anime/6582/Tentai_Senshi_Sunred_2nd_Season
65,Nintama Rantarou,https://myanimelist.net/anime/1199/Nintama_Rantarou
66,Chibi Maruko-chan (1995),https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
67,Higepiyo,https://myanimelist.net/anime/5983/Higepiyo
68,Marie & Gali,https://myanimelist.net/anime/6130/Marie___Gali
69,Kuruneko,https://myanimelist.net/anime/6604/Kuruneko
70,Sore Ike! Anpanman,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
71,Battle Spirits: Shounen Gekiha Dan,https://myanimelist.net/anime/6901/Battle_Spirits__Shounen_Gekiha_Dan
72,Cheburashka Arere?,https://myanimelist.net/anime/7176/Cheburashka_Arere
73,Mainichi Kaasan,https://myanimelist.net/anime/6116/Mainichi_Kaasan
74,Cookin' Idol Ai! Mai! Main!,https://myanimelist.net/anime/6119/Cookin_Idol_Ai_Mai_Main
75,Stitch! Itazura Alien no Daibouken,https://myanimelist.net/anime/6899/Stitch_Itazura_Alien_no_Daibouken
76,Charady no Joke na Mainichi,https://myanimelist.net/anime/6131/Charady_no_Joke_na_Mainichi
77,Duel Masters Cross,https://myanimelist.net/anime/10527/Duel_Masters_Cross
78,Ojarumaru,https://myanimelist.net/anime/4459/Ojarumaru
79,Tamagotchi!,https://myanimelist.net/anime/6900/Tamagotchi
80,Oyako Club,https://myanimelist.net/anime/12393/Oyako_Club
81,Uchi no 3 Shimai,https://myanimelist.net/anime/3975/Uchi_no_3_Shimai
82,Naked Wolves,https://myanimelist.net/anime/7247/Naked_Wolves
83,Kotatsu Neko (TV),https://myanimelist.net/anime/7189/Kotatsu_Neko_TV
84,Gokyoudai Monogatari,https://myanimelist.net/anime/7177/Gokyoudai_Monogatari
85,Hakken Taiken Daisuki! Shimajirou,https://myanimelist.net/anime/18937/Hakken_Taiken_Daisuki_Shimajirou
86,Ehon Yose,https://myanimelist.net/anime/28087/Ehon_Yose
87,Panpaka Pants,https://myanimelist.net/anime/32842/Panpaka_Pants
88,Wala! Pyeon-uijeom The Animation,https://myanimelist.net/anime/17106/Wala_Pyeon-uijeom_The_Animation
